거래금액,거래유형,건축년도,년,단지,매도자,매수자,법정동,시군구,월세금액,월,일,전용면적,중개사소재지,지번,지역코드,층
"27,000", ,2004,2020,광화문시대, , , 내수동,종로구,존재하지 않음,6,5,34.9, ,74,11110,10
"28,000", ,2004,2020,용비어천가, , , 내수동,종로구,존재하지 않음,6,5,42.83, ,75,11110,2
"29,000", ,2004,2020,경희궁의 아침 3단지, , , 내수동,종로구,존재하지 않음,6,18,37.5, ,72,11110,16
"42,600", ,2005,2020,광화문오피시아빌딩, , , 신문로1가,종로구,존재하지 않음,6,26,41.71, ,163,11110,16
"28,000", ,2004,2020,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,6,8,35.22, ,58,11110,5
"53,000", ,2004,2020,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,6,17,70.44, ,58,11110,8
"44,000", ,2004,2020,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,6,30,57.96, ,58,11110,9
"31,500", ,2007,2020,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,6,3,36.23, ,24,11110,17
"58,000", ,2007,2020,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,6,4,81.01, ,24,11110,11
"60,000", ,2007,2020,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,6,4,81.01, ,24,11110,9
"60,800", ,2007,2020,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,6,23,81.01, ,24,11110,6
"33,000", ,2005,2020,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,6,2,41.12, ,89-4,11110,7
"31,000", ,2005,2020,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,6,17,41.12, ,89-4,11110,10
"26,900", ,2005,2020,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,6,23,35.36, ,89-4,11110,7
"33,000", ,2005,2020,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,6,25,41.12, ,89-4,11110,13
"24,300", ,2005,2020,종로1번가, , , 관철동,종로구,존재하지 않음,6,13,30.04, ,155,11110,8
"15,000", ,1994,2020,종로오피스텔, , , 낙원동,종로구,존재하지 않음,6,4,25.2, ,58-1,11110,7
"47,200", ,2006,2020,효성주얼리시티, , , 인의동,종로구,존재하지 않음,6,18,60.21, ,48-2,11110,3
"15,000", ,2003,2020,반도 보라 아이비 타워, , , 효제동,종로구,존재하지 않음,6,23,27.58, ,45,11110,5
"11,900", ,2013,2020,종로 아인스빌, , , 숭인동,종로구,존재하지 않음,6,4,17.88, ,1392-1,11110,4
"7,750", ,존재하지 않음,2020,INSPIRE [케이디종합건설 (주)], , , 숭인동,종로구,존재하지 않음,6,6,14.5, ,298-9,11110,5
