거래금액,거래유형,건축년도,년,단지,매도자,매수자,법정동,시군구,월세금액,월,일,전용면적,중개사소재지,지번,지역코드,층
"29,000", ,2003,2020,광화문 플래티넘, , , 적선동,종로구,존재하지 않음,2,5,45.36, ,156,11110,6
"16,000", ,1998,2020,파크뷰타워, , , 필운동,종로구,존재하지 않음,2,22,24.3, ,285-5,11110,3
"36,000", ,2008,2020,광화문 스페이스본, , , 사직동,종로구,존재하지 않음,2,1,39.54, ,9,11110,6
"33,000", ,2008,2020,광화문 스페이스본, , , 사직동,종로구,존재하지 않음,2,3,39.54, ,9,11110,2
"51,950", ,2004,2020,경희궁의 아침 4단지, , , 내수동,종로구,존재하지 않음,2,8,56.48, ,73,11110,11
"29,000", ,2004,2020,광화문시대, , , 내수동,종로구,존재하지 않음,2,12,34.9, ,74,11110,15
"30,000", ,2004,2020,용비어천가, , , 내수동,종로구,존재하지 않음,2,17,42.46, ,75,11110,10
"54,800", ,2004,2020,경희궁의 아침 3단지, , , 내수동,종로구,존재하지 않음,2,18,63.96, ,72,11110,6
"30,700", ,2004,2020,용비어천가, , , 내수동,종로구,존재하지 않음,2,18,42.83, ,75,11110,12
"27,300", ,2004,2020,광화문시대, , , 내수동,종로구,존재하지 않음,2,19,34.9, ,74,11110,9
"42,000", ,2005,2020,광화문오피시아빌딩, , , 신문로1가,종로구,존재하지 않음,2,18,41.71, ,163,11110,20
"26,800", ,2004,2020,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,2,6,35.22, ,58,11110,10
"70,300", ,2007,2020,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,2,29,96.92, ,24,11110,19
"26,546", ,2004,2020,견지동빌딩, , , 견지동,종로구,존재하지 않음,2,21,41.4, ,110-32,11110,6
"12,400", ,2004,2020,BIZ-WELL 종로 오피스텔, , , 익선동,종로구,존재하지 않음,2,12,17.2, ,34,11110,5
"44,720", ,2005,2020,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,2,24,56.03, ,89-4,11110,5
"17,000", ,2005,2020,종로1번가, , , 관철동,종로구,존재하지 않음,2,18,23.62, ,155,11110,12
"15,000", ,1994,2020,종로오피스텔, , , 낙원동,종로구,존재하지 않음,2,3,25.2, ,58-1,11110,14
"14,000", ,1994,2020,종로오피스텔, , , 낙원동,종로구,존재하지 않음,2,26,25.2, ,58-1,11110,4
"27,200", ,2019,2020,리베르떼_연지, , , 연지동,종로구,존재하지 않음,2,3,27.3, ,222,11110,7
"16,200", ,2003,2020,반도 보라 아이비 타워, , , 효제동,종로구,존재하지 않음,2,22,27.58, ,45,11110,6
"12,900", ,2013,2020,종로 중흥 S클래스, , , 숭인동,종로구,존재하지 않음,2,4,23.966, ,202-3,11110,4
"12,500", ,2012,2020,삼전솔하임2차, , , 숭인동,종로구,존재하지 않음,2,5,21.12, ,296-19,11110,3
"9,700", ,2005,2020,엘리시앙오피스텔, , , 숭인동,종로구,존재하지 않음,2,10,20.64, ,200-33,11110,4
