거래금액,거래유형,건축년도,년,단지,매도자,매수자,법정동,시군구,월세금액,월,일,전용면적,중개사소재지,지번,지역코드,층
"38,500",중개거래,2008,2023,광화문 스페이스본, , , 사직동,종로구,존재하지 않음,9,20,39.54,서울 종로구,9,11110,7
"40,500",중개거래,2008,2023,광화문 스페이스본, , , 사직동,종로구,존재하지 않음,9,26,39.54,서울 종로구,9,11110,6
"31,500",중개거래,2004,2023,용비어천가, , , 내수동,종로구,존재하지 않음,9,8,42.39,서울 종로구,75,11110,12
"22,500",중개거래,2004,2023,경희궁의 아침 4단지, , , 내수동,종로구,존재하지 않음,9,19,28.24,서울 종로구,73,11110,9
"59,000",중개거래,2005,2023,광화문오피시아빌딩, , , 신문로1가,종로구,존재하지 않음,9,25,46.77,서울 종로구,163,11110,21
"140,000",중개거래,2020,2023,디팰리스, , , 신문로2가,종로구,존재하지 않음,9,23,80.262,서울 종로구,171,11110,5
"32,000",중개거래,2007,2023,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,9,6,36.23,"서울 강남구, 서울 종로구",24,11110,16
"26,500",중개거래,2007,2023,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,9,12,36.23,서울 종로구,24,11110,12
"38,500",중개거래,2007,2023,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,9,21,45.41,서울 종로구,24,11110,19
"28,000",직거래,2005,2023,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,9,18,30.28, ,89-4,11110,6
"18,800",중개거래,2005,2023,종로1번가, , , 관철동,종로구,존재하지 않음,9,16,25.29,서울 종로구,155,11110,12
"25,100",중개거래,2020,2023,종로 하이뷰 디아트, , , 관수동,종로구,존재하지 않음,9,13,19.8,서울 종로구,98-1,11110,7
"23,118",중개거래,2021,2023,루비온오피스텔, , , 인의동,종로구,존재하지 않음,9,14,18.2,서울 종로구,28-26,11110,3
"23,118",중개거래,2021,2023,루비온오피스텔, , , 인의동,종로구,존재하지 않음,9,14,18.2,서울 종로구,28-26,11110,3
"18,400",중개거래,2001,2023,대보마로니에텔, , , 연건동,종로구,존재하지 않음,9,16,25.04,서울 종로구,206,11110,11
"22,252",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,3
"22,492",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,4
"22,595",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,5
"22,750",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,6
"23,009",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,7
"23,113",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,8
"23,320",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,9
"23,475",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,10
"23,578",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,11
"23,682",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,12
"23,837",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,13
"23,837",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,14
"23,941",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,15
"23,941",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,19.18, ,1399,11110,16
"23,164",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,2
"23,682",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,3
"24,044",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,4
"24,199",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,5
"24,303",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,6
"24,562",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,7
"24,665",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,8
"24,872",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,9
"25,027",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,10
"25,183",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,11
"25,286",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,12
"25,441",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,13
"25,441",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,14
"25,545",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,15
"25,545",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,20.49, ,1399,11110,16
"25,183",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,21.79, ,1399,11110,2
"25,700",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,21.79, ,1399,11110,3
"26,114",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,21.79, ,1399,11110,4
"26,218",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,21.79, ,1399,11110,5
"26,373",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,21.79, ,1399,11110,6
"26,632",직거래,2023,2023,종로 더블유 스퀘어 오피스텔, , , 숭인동,종로구,존재하지 않음,9,7,21.79, ,1399,11110,7
