거래금액,거래유형,건축년도,년,단지,매도자,매수자,법정동,시군구,월세금액,월,일,전용면적,중개사소재지,지번,지역코드,층
"31,000",직거래,2003,2022,광화문 플래티넘, , , 적선동,종로구,존재하지 않음,6,22,43.47, ,156,11110,4
"15,000",중개거래,1998,2022,파크뷰타워, , , 필운동,종로구,존재하지 않음,6,10,21.85,서울 종로구,285-5,11110,4
"16,700",중개거래,1998,2022,파크뷰타워, , , 필운동,종로구,존재하지 않음,6,13,24.3,서울 종로구,285-5,11110,7
"28,000",중개거래,2004,2022,용비어천가, , , 내수동,종로구,존재하지 않음,6,9,41.34,서울 종로구,75,11110,5
"30,700",중개거래,2004,2022,경희궁의 아침 3단지, , , 내수동,종로구,존재하지 않음,6,9,37.5,서울 종로구,72,11110,3
"58,420",중개거래,1994,2022,도렴구역 제18지구, , , 내수동,종로구,존재하지 않음,6,13,67.36,서울 종로구,167,11110,8
"27,000",중개거래,2004,2022,용비어천가, , , 내수동,종로구,존재하지 않음,6,13,33,서울 종로구,75,11110,3
"28,000",중개거래,2004,2022,경희궁의 아침 2단지, , , 내수동,종로구,존재하지 않음,6,14,32.43,서울 종로구,71,11110,2
"26,000",중개거래,2004,2022,용비어천가, , , 내수동,종로구,존재하지 않음,6,15,37.56,서울 종로구,75,11110,5
"24,000",중개거래,2004,2022,용비어천가, , , 내수동,종로구,존재하지 않음,6,17,30.36,서울 종로구,75,11110,5
"37,000",중개거래,2004,2022,용비어천가, , , 내수동,종로구,존재하지 않음,6,23,41.12,서울 종로구,75,11110,17
"29,000",중개거래,2004,2022,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,6,13,35.22,서울 종로구,58,11110,12
"26,500",중개거래,2007,2022,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,6,9,34.59,서울 종로구,24,11110,10
"29,000",중개거래,2007,2022,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,6,23,36.23,서울 종로구,24,11110,14
"29,000",중개거래,2007,2022,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,6,23,36.23,서울 종로구,24,11110,14
"12,000",중개거래,2004,2022,BIZ-WELL 종로 오피스텔, , , 익선동,종로구,존재하지 않음,6,25,18.83,서울 종로구,34,11110,5
"35,000",중개거래,2005,2022,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,6,21,41.34,서울 종로구,89-4,11110,12
"24,000",중개거래,2005,2022,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,6,23,23.66,서울 종로구,89-4,11110,10
"35,000",중개거래,2005,2022,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,6,23,41.34,서울 종로구,89-4,11110,12
"18,000",중개거래,1991,2022,낙원오피스텔, , , 돈의동,종로구,존재하지 않음,6,7,33,서울 종로구,39-2,11110,6
"52,000",직거래,2006,2022,효성주얼리시티, , , 인의동,종로구,존재하지 않음,6,15,64.71, ,48-2,11110,5
"27,500",직거래,2021,2022,(255-1), , , 창신동,종로구,존재하지 않음,6,9,20.53, ,255-1,11110,10
"27,000",직거래,2021,2022,(255-1), , , 창신동,종로구,존재하지 않음,6,20,20.53, ,255-1,11110,6
"25,500",직거래,2021,2022,(255-1), , , 창신동,종로구,존재하지 않음,6,20,17.8, ,255-1,11110,10
"9,800",중개거래,2013,2022,종로유케이201, , , 숭인동,종로구,존재하지 않음,6,10,15.15,서울 종로구,201-11,11110,4
"9,800",중개거래,2013,2022,종로유케이201, , , 숭인동,종로구,존재하지 않음,6,10,15.15,서울 종로구,201-11,11110,4
