거래금액,거래유형,건축년도,년,단지,매도자,매수자,법정동,시군구,월세금액,월,일,전용면적,중개사소재지,지번,지역코드,층
"80,000",직거래,2005,2022,로얄팰리스스위트, , , 수송동,종로구,존재하지 않음,12,15,81.6, ,85,11110,3
"80,000",직거래,2005,2022,로얄팰리스스위트, , , 수송동,종로구,존재하지 않음,12,15,81.6, ,85,11110,3
"18,900",중개거래,2005,2022,종로1번가, , , 관철동,종로구,존재하지 않음,12,14,24.64,서울 종로구,155,11110,15
"19,500",중개거래,2005,2022,종로1번가, , , 관철동,종로구,존재하지 않음,12,23,24.64,서울 종로구,155,11110,8
"16,000",직거래,2004,2022,나스빌, , , 낙원동,종로구,존재하지 않음,12,20,28.69, ,212,11110,3
"51,000",중개거래,2006,2022,효성주얼리시티, , , 인의동,종로구,존재하지 않음,12,12,64.71,서울 종로구,48-2,11110,6
"23,051",직거래,2019,2022,케이디오피스텔, , , 숭인동,종로구,존재하지 않음,12,20,18.56, ,217-26,11110,5
"12,700",중개거래,2013,2022,버넷하임1, , , 숭인동,종로구,존재하지 않음,12,23,25.88,서울 종로구,1421,11110,11
"25,200",직거래,2005,2022,동양파라빌, , , 숭인동,종로구,존재하지 않음,12,28,54.81, ,1388,11110,10
"10,300",중개거래,2013,2022,종로 동광모닝스카이, , , 숭인동,종로구,존재하지 않음,12,30,19.95,서울 종로구,1421-1,11110,2
"32,500",중개거래,2017,2022,경희궁자이, , , 교북동,종로구,존재하지 않음,12,13,25.9097,서울 종로구,126,11110,2
"27,500",중개거래,2008,2022,명동아르누보센텀, , , 을지로2가,중구,존재하지 않음,12,6,26.807,서울 중구,199-40,11140,8
"34,000",중개거래,2008,2022,명동아르누보센텀, , , 을지로2가,중구,존재하지 않음,12,28,35.917,서울 중구,199-40,11140,7
"11,300",중개거래,1999,2022,광희동금호트윈 오피스텔, , , 광희동1가,중구,존재하지 않음,12,8,24.84,서울 중구,89-1,11140,6
"16,300",중개거래,2014,2022,신당아르브, , , 신당동,중구,존재하지 않음,12,27,21.31,서울 중구,160-5,11140,10
"19,200",중개거래,2020,2022,용산 다올 노블리움, , , 청파동3가,용산구,존재하지 않음,12,17,18.09,서울 용산구,80-6,11170,5
"30,400",직거래,2021,2022,용산 클라우드 나인 오피스텔, , , 원효로3가,용산구,존재하지 않음,12,20,17.0764, ,277-13,11170,15
"19,100",중개거래,2013,2022,용산큐브, , , 문배동,용산구,존재하지 않음,12,6,17.46,서울 용산구,24-4,11170,11
"20,000",중개거래,2004,2022,삼라마이다스빌, , , 문배동,용산구,존재하지 않음,12,7,28.23,서울 용산구,40-19,11170,6
"59,000",중개거래,2005,2022,용산파크자이, , , 한강로1가,용산구,존재하지 않음,12,20,52.84,서울 용산구,50-1,11170,5
"45,000",중개거래,2006,2022,용산 토투벨리, , , 한강로2가,용산구,존재하지 않음,12,23,54.31,서울 용산구,2-37,11170,12
"35,000",중개거래,2004,2022,대우디오빌한강로오피스텔, , , 한강로2가,용산구,존재하지 않음,12,31,33.95,"서울 동작구, 서울 용산구",312-4,11170,7
"17,800",중개거래,1991,2022,삼구빌딩, , , 한강로3가,용산구,존재하지 않음,12,13,39.84,서울 용산구,16-49,11170,15
"15,300",중개거래,2011,2022,리오파크 오피스텔, , , 하왕십리동,성동구,존재하지 않음,12,3,23.88,서울 성동구,898-2,11200,11
"11,500",중개거래,2011,2022,리오파크 오피스텔, , , 하왕십리동,성동구,존재하지 않음,12,17,22.82,서울 성동구,898-2,11200,3
"11,500",중개거래,2011,2022,리오파크 오피스텔, , , 하왕십리동,성동구,존재하지 않음,12,17,22.82,서울 성동구,898-2,11200,3
"13,000",중개거래,2011,2022,리오파크 오피스텔, , , 하왕십리동,성동구,존재하지 않음,12,29,22.97,서울 성동구,898-2,11200,13
"13,000",중개거래,2018,2022,비앤리베스텔, , , 홍익동,성동구,존재하지 않음,12,5,15.92,서울 성동구,146-1,11200,5
"13,000",중개거래,2018,2022,비앤리베스텔, , , 홍익동,성동구,존재하지 않음,12,5,15.92,서울 성동구,146-1,11200,7
"11,000",중개거래,1988,2022,(797-16), , , 마장동,성동구,존재하지 않음,12,10,24.6,서울 성동구,797-16,11200,4
"28,500",중개거래,2006,2022,왕십리역이스타빌, , , 행당동,성동구,존재하지 않음,12,10,31.63,서울 성동구,287-15,11200,10
"15,600",중개거래,2004,2022,성동샤르망, , , 행당동,성동구,존재하지 않음,12,29,24.84,서울 성동구,192-29,11200,11
"7,250",직거래,1990,2022,(228-1), , , 용답동,성동구,존재하지 않음,12,1,23.43, ,228-1,11200,9
"21,000",직거래,2022,2022,동우리즈힐스, , , 용답동,성동구,존재하지 않음,12,1,16.67, ,229-1,11200,15
"31,800",중개거래,2006,2022,신창비바패밀리, , , 용답동,성동구,존재하지 않음,12,22,56.17,서울 성동구,232-1,11200,9
"23,700",중개거래,1991,2022,(547-8), , , 구의동,광진구,존재하지 않음,12,10,33.06,서울 광진구,547-8,11215,7
"26,000",직거래,2021,2022,테라펠리스 건대 3차, , , 구의동,광진구,존재하지 않음,12,13,17.05, ,246-1,11215,5
"15,000",중개거래,1991,2022,현대골든텔, , , 광장동,광진구,존재하지 않음,12,14,24.71,서울 광진구,102,11215,9
"34,500",중개거래,2022,2022,건대입구역자이엘라, , , 자양동,광진구,존재하지 않음,12,7,18.0996,서울 광진구,2-2,11215,17
"70,670",중개거래,2022,2022,건대입구역자이엘라, , , 자양동,광진구,존재하지 않음,12,9,40.1395,서울 광진구,2-2,11215,19
"35,000",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,4
"35,950",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,6
"35,950",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,5
"35,700",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,4
"35,700",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,3
"35,350",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,6
"35,350",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,5
"35,250",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,6
"35,250",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,6
"34,200",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.46,서울 마포구,680-2,11215,3
"34,200",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.46,서울 마포구,680-2,11215,4
"34,350",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.46,서울 마포구,680-2,11215,3
"34,350",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.46,서울 마포구,680-2,11215,4
"34,450",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.46,서울 마포구,680-2,11215,5
"34,450",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.46,서울 마포구,680-2,11215,6
"34,650",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.46,서울 마포구,680-2,11215,5
"34,650",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.46,서울 마포구,680-2,11215,6
"34,900",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,3
"34,900",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,4
"35,000",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,3
"35,000",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,3
"35,000",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,4
"35,050",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,3
"35,050",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,4
"35,150",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,5
"35,150",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,6
"35,250",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,5
"35,250",중개거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,13,25.98,서울 마포구,680-2,11215,5
"45,000",직거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,16,25.98, ,680-2,11215,2
"45,000",직거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,16,25.98, ,680-2,11215,2
"45,000",직거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,16,25.46, ,680-2,11215,2
"45,000",직거래,2022,2022,안틸리아 자양, , , 자양동,광진구,존재하지 않음,12,16,25.46, ,680-2,11215,2
