거래금액,거래유형,건축년도,년,단지,매도자,매수자,법정동,시군구,월세금액,월,일,전용면적,중개사소재지,지번,지역코드,층
"31,500",중개거래,2003,2022,광화문 플래티넘, , , 적선동,종로구,존재하지 않음,4,14,45.36,서울 종로구,156,11110,6
"31,000",중개거래,2004,2022,용비어천가, , , 내수동,종로구,존재하지 않음,4,4,37.56,서울 종로구,75,11110,10
"30,300",직거래,2004,2022,경희궁의 아침 3단지, , , 내수동,종로구,존재하지 않음,4,7,37.5, ,72,11110,6
"30,000",중개거래,2004,2022,광화문시대, , , 내수동,종로구,존재하지 않음,4,13,34.9,서울 종로구,74,11110,7
"30,600",중개거래,2004,2022,경희궁의 아침 3단지, , , 내수동,종로구,존재하지 않음,4,14,37.5,서울 종로구,72,11110,3
"29,500",중개거래,2004,2022,광화문시대, , , 내수동,종로구,존재하지 않음,4,23,34.9,서울 종로구,74,11110,12
"61,800",중개거래,2004,2022,경희궁의 아침 4단지, , , 내수동,종로구,존재하지 않음,4,26,56.48,서울 종로구,73,11110,16
"48,300",중개거래,2005,2022,광화문오피시아빌딩, , , 신문로1가,종로구,존재하지 않음,4,1,41.71,서울 종로구,163,11110,18
"49,000",중개거래,2005,2022,광화문오피시아빌딩, , , 신문로1가,종로구,존재하지 않음,4,15,41.71,서울 종로구,163,11110,23
"48,000",중개거래,2005,2022,광화문오피시아빌딩, , , 신문로1가,종로구,존재하지 않음,4,18,41.71,서울 종로구,163,11110,18
"130,000",중개거래,2020,2022,디팰리스, , , 신문로2가,종로구,존재하지 않음,4,22,53.748,"서울 강남구, 서울 종로구",171,11110,4
"27,500",중개거래,2004,2022,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,4,4,35.22,서울 종로구,58,11110,11
"41,500",중개거래,2004,2022,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,4,11,53.74,서울 종로구,58,11110,12
"62,000",중개거래,2004,2022,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,4,12,70.44,서울 종로구,58,11110,7
"62,000",중개거래,2004,2022,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,4,12,70.44,서울 종로구,58,11110,7
"29,900",중개거래,2004,2022,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,4,20,37.42,서울 종로구,58,11110,5
"55,000",중개거래,2007,2022,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,4,27,57.5,서울 종로구,24,11110,13
"28,500",중개거래,2007,2022,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,4,27,36.23,서울 종로구,24,11110,7
"49,500",중개거래,2007,2022,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,4,27,56.64,서울 종로구,24,11110,16
"41,700",중개거래,2007,2022,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,4,28,56.64,서울 종로구,24,11110,6
"29,500",중개거래,2007,2022,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,4,30,36.23,서울 종로구,24,11110,7
"30,000",중개거래,2004,2022,견지동빌딩, , , 견지동,종로구,존재하지 않음,4,7,52.15,서울 중구,110-32,11110,4
"27,000",중개거래,2005,2022,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,4,15,39.2,서울 종로구,89-4,11110,5
"35,000",중개거래,2005,2022,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,4,28,41.34,서울 종로구,89-4,11110,12
"18,500",중개거래,2005,2022,종로1번가, , , 관철동,종로구,존재하지 않음,4,1,25.29,서울 종로구,155,11110,9
"17,500",직거래,2004,2022,나스빌, , , 낙원동,종로구,존재하지 않음,4,5,28.58, ,212,11110,6
