거래금액,거래유형,건축년도,년,단지,매도자,매수자,법정동,시군구,월세금액,월,일,전용면적,중개사소재지,지번,지역코드,층
"45,000", ,1994,2021,도렴구역 제18지구, , , 내수동,종로구,존재하지 않음,1,5,67.36, ,167,11110,8
"27,900", ,2004,2021,경희궁의 아침 2단지, , , 내수동,종로구,존재하지 않음,1,6,32.43, ,71,11110,4
"26,500", ,2004,2021,경희궁의 아침 2단지, , , 내수동,종로구,존재하지 않음,1,9,32.43, ,71,11110,5
"31,500", ,2004,2021,용비어천가, , , 내수동,종로구,존재하지 않음,1,22,33, ,75,11110,17
"29,150", ,2004,2021,광화문시대, , , 내수동,종로구,존재하지 않음,1,23,34.9, ,74,11110,7
"24,500", ,2004,2021,경희궁의 아침 4단지, , , 내수동,종로구,존재하지 않음,1,27,28.24, ,73,11110,12
"54,000", ,2004,2021,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,1,22,72.21, ,58,11110,4
"41,000", ,2007,2021,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,1,18,56.64, ,24,11110,15
"47,500", ,2007,2021,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,1,18,57.5, ,24,11110,6
"11,900", ,1998,2021,오피스텔월드, , , 운니동,종로구,존재하지 않음,1,14,30.24, ,65-1,11110,9
"11,000", ,2004,2021,BIZ-WELL 종로 오피스텔, , , 익선동,종로구,존재하지 않음,1,13,23.14, ,34,11110,5
"12,000", ,2004,2021,BIZ-WELL 종로 오피스텔, , , 익선동,종로구,존재하지 않음,1,18,17.42, ,34,11110,6
"33,000", ,2005,2021,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,1,6,45.73, ,89-4,11110,5
"28,300", ,2005,2021,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,1,30,35.36, ,89-4,11110,6
"20,000", ,2005,2021,종로1번가, , , 관철동,종로구,존재하지 않음,1,13,24.64, ,155,11110,9
"22,250", ,1991,2021,낙원오피스텔, , , 돈의동,종로구,존재하지 않음,1,31,40.96, ,39-2,11110,9
"57,500", ,2006,2021,효성주얼리시티, , , 인의동,종로구,존재하지 않음,1,23,73.79, ,48-2,11110,4
"24,100", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,22.38, ,317-29,11110,10
"27,597", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,24.41, ,317-29,11110,2
"24,100", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,22.38, ,317-29,11110,9
"20,500", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,18.74, ,317-29,11110,10
"10,900", ,2013,2021,종로 동광모닝스카이, , , 숭인동,종로구,존재하지 않음,1,6,19.95, ,1421-1,11110,6
"20,400", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,18.74, ,317-29,11110,5
"19,900", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,18.74, ,317-29,11110,2
"20,000", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,18.74, ,317-29,11110,3
"20,200", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,18.74, ,317-29,11110,4
"23,350", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,22.38, ,317-29,11110,2
"23,500", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,22.38, ,317-29,11110,3
"23,750", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,22.38, ,317-29,11110,4
"24,000", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,22.38, ,317-29,11110,5
"24,000", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,22.38, ,317-29,11110,6
"24,100", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,22.38, ,317-29,11110,8
"20,400", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,18.74, ,317-29,11110,6
"20,500", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,18.74, ,317-29,11110,7
"24,100", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,22.38, ,317-29,11110,7
"20,500", ,2020,2021,(317-29), , , 숭인동,종로구,존재하지 않음,1,6,18.74, ,317-29,11110,9
"15,700", ,2004,2021,종로대우디오빌, , , 숭인동,종로구,존재하지 않음,1,14,29.65, ,310,11110,15
"15,500", ,2004,2021,종로대우디오빌, , , 숭인동,종로구,존재하지 않음,1,20,36.87, ,310,11110,6
"13,000", ,2005,2021,동양파라빌, , , 숭인동,종로구,존재하지 않음,1,23,27.09, ,1388,11110,4
"20,000", ,2005,2021,엘리시앙오피스텔, , , 숭인동,종로구,존재하지 않음,1,27,57.75, ,200-33,11110,11
"7,600", ,1999,2021,광희동금호트윈 오피스텔, , , 광희동1가,중구,존재하지 않음,1,4,21.96, ,89-1,11140,12
"7,300", ,1999,2021,광희동금호트윈 오피스텔, , , 광희동1가,중구,존재하지 않음,1,19,19.8, ,89-1,11140,6
"10,500", ,1999,2021,광희동금호트윈 오피스텔, , , 광희동1가,중구,존재하지 않음,1,20,29.88, ,89-1,11140,13
"13,500", ,2004,2021,삼성골드캐슬, , , 을지로5가,중구,존재하지 않음,1,6,19.92, ,273-2,11140,6
"16,500", ,2003,2021,정건벨라지오오피스텔, , , 을지로5가,중구,존재하지 않음,1,15,32.57, ,20-1,11140,11
"16,300", ,2014,2021,신당아르브, , , 신당동,중구,존재하지 않음,1,25,21.31, ,160-5,11140,9
"15,000", ,2014,2021,신당아르브, , , 신당동,중구,존재하지 않음,1,26,21.31, ,160-5,11140,14
"120,000", ,2006,2021,디오트, , , 신당동,중구,존재하지 않음,1,29,37.58, ,193-2,11140,5
"19,000", ,2013,2021,(91), , , 흥인동,중구,존재하지 않음,1,14,24.85, ,91,11140,13
"14,800", ,2013,2021,(91), , , 흥인동,중구,존재하지 않음,1,23,22.18, ,91,11140,15
"61,500", ,2014,2021,청계천 두산위브더제니스, , , 흥인동,중구,존재하지 않음,1,28,77.525, ,13-1,11140,18
"41,800", ,2018,2021,청계 블루카운티, , , 황학동,중구,존재하지 않음,1,5,66.86, ,1720,11140,8
"12,800", ,2013,2021,한양 I-Class, , , 황학동,중구,존재하지 않음,1,9,19.05, ,787,11140,6
"21,000", ,2018,2021,청계 블루카운티, , , 황학동,중구,존재하지 않음,1,12,25.04, ,1720,11140,9
"20,500", ,2018,2021,청계 블루카운티, , , 황학동,중구,존재하지 않음,1,12,26.19, ,1720,11140,4
"12,500", ,2004,2021,올리브1, , , 황학동,중구,존재하지 않음,1,16,25.05, ,808,11140,4
"20,000", ,2015,2021,(1546), , , 황학동,중구,존재하지 않음,1,22,39.57, ,1546,11140,5
"16,200", ,2014,2021,황학동 복합시설(DUO302), , , 황학동,중구,존재하지 않음,1,25,22.52, ,819,11140,18
"40,000", ,2016,2021,덕수궁롯데캐슬, , , 순화동,중구,존재하지 않음,1,20,41.1445, ,217,11140,3
"41,000", ,2016,2021,덕수궁롯데캐슬, , , 순화동,중구,존재하지 않음,1,25,41.1445, ,217,11140,6
"64,750", ,2003,2021,바비엥-1, , , 의주로1가,중구,존재하지 않음,1,4,95.39, ,32-2,11140,9
"60,000", ,2003,2021,바비엥-1, , , 의주로1가,중구,존재하지 않음,1,16,83.05, ,32-2,11140,10
"26,000", ,2006,2021,브라운스톤서울, , , 중림동,중구,존재하지 않음,1,22,30.986, ,355,11140,6
"48,000", ,2005,2021,서울역 디오빌, , , 만리동1가,중구,존재하지 않음,1,16,56.17, ,62-7,11140,5
"72,000", ,2004,2021,KCC 파크타운, , , 만리동2가,중구,존재하지 않음,1,20,66.47, ,11-1,11140,4
"23,750", ,2004,2021,갈월동 에이트리움, , , 갈월동,용산구,존재하지 않음,1,12,33.77, ,101-49,11170,15
"30,000", ,2020,2021,용산 다올 노블리움, , , 청파동3가,용산구,존재하지 않음,1,10,47, ,80-6,11170,17
"17,000", ,2004,2021,디아뜨 센트럴, , , 원효로1가,용산구,존재하지 않음,1,16,25.5, ,112-4,11170,10
"16,200", ,2003,2021,e테크밸리, , , 원효로3가,용산구,존재하지 않음,1,15,38.12, ,51-37,11170,11
"12,500", ,2003,2021,e테크밸리, , , 원효로3가,용산구,존재하지 않음,1,23,32, ,51-37,11170,12
"30,300", ,2015,2021,용산KCC웰츠타워, , , 문배동,용산구,존재하지 않음,1,4,36.8, ,11-10,11170,8
"27,000", ,2004,2021,지오베르크, , , 문배동,용산구,존재하지 않음,1,9,31.35, ,17-1,11170,3
"69,000", ,2007,2021,용산씨제이나인파크, , , 문배동,용산구,존재하지 않음,1,14,68.41, ,24-6,11170,6
"89,000", ,2007,2021,이안용산프리미어, , , 문배동,용산구,존재하지 않음,1,16,87.29, ,3-3,11170,7
