거래금액,거래유형,건축년도,년,단지,매도자,매수자,법정동,시군구,월세금액,월,일,전용면적,중개사소재지,지번,지역코드,층
"33,700",중개거래,2003,2023,광화문 플래티넘, , , 적선동,종로구,존재하지 않음,2,10,43.92,서울 종로구,156,11110,13
"39,500",중개거래,2004,2023,용비어천가, , , 내수동,종로구,존재하지 않음,2,4,42.83,서울 종로구,75,11110,15
"26,000",중개거래,2004,2023,경희궁의 아침 2단지, , , 내수동,종로구,존재하지 않음,2,6,32.43,서울 종로구,71,11110,3
"24,000",중개거래,2004,2023,경희궁의 아침 4단지, , , 내수동,종로구,존재하지 않음,2,9,28.24,서울 종로구,73,11110,6
"59,000",중개거래,2005,2023,광화문오피시아빌딩, , , 신문로1가,종로구,존재하지 않음,2,24,46.77,서울 종로구,163,11110,16
"130,000",중개거래,2020,2023,디팰리스, , , 신문로2가,종로구,존재하지 않음,2,13,53.748,"서울 용산구, 서울 종로구",171,11110,7
"130,000",중개거래,2020,2023,디팰리스, , , 신문로2가,종로구,존재하지 않음,2,13,53.748,"서울 용산구, 서울 종로구",171,11110,7
"43,700",중개거래,2004,2023,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,2,6,53.02,서울 종로구,58,11110,4
"17,750",중개거래,2005,2023,종로1번가, , , 관철동,종로구,존재하지 않음,2,9,21.38,서울 종로구,155,11110,15
"12,200",중개거래,1994,2023,종로오피스텔, , , 낙원동,종로구,존재하지 않음,2,18,20.25,서울 종로구,58-1,11110,10
"42,000",중개거래,2006,2023,효성주얼리시티, , , 인의동,종로구,존재하지 않음,2,21,53.78,서울 종로구,48-2,11110,6
"14,700",중개거래,2003,2023,코윈 팔레스뷰 오피스텔, , , 원남동,종로구,존재하지 않음,2,11,21.01,서울 종로구,95,11110,10
"16,500",중개거래,2017,2023,포레스트힐시티, , , 효제동,종로구,존재하지 않음,2,13,19.1825,서울 종로구,65-2,11110,3
"20,000",중개거래,2003,2023,반도 보라 아이비 타워, , , 효제동,종로구,존재하지 않음,2,18,32.27,서울 종로구,45,11110,7
"28,000",직거래,2022,2023,종로5가역 하이뷰더광장, , , 종로5가,종로구,존재하지 않음,2,15,18.97, ,138-4,11110,3
"9,800",중개거래,2005,2023,엘리시앙오피스텔, , , 숭인동,종로구,존재하지 않음,2,13,20.64,서울 중구,200-33,11110,8
"14,000",중개거래,2013,2023,종로 중흥 S클래스, , , 숭인동,종로구,존재하지 않음,2,13,23.966,서울 종로구,202-3,11110,4
"16,500",중개거래,2004,2023,종로대우디오빌, , , 숭인동,종로구,존재하지 않음,2,14,29.65,"서울 노원구, 서울 종로구",310,11110,4
"15,300",중개거래,2020,2023,헤스티아, , , 숭인동,종로구,존재하지 않음,2,15,15.28,서울 중구,317-48,11110,16
"11,500",중개거래,2013,2023,종로 동광모닝스카이, , , 숭인동,종로구,존재하지 않음,2,22,19.95,서울 종로구,1421-1,11110,2
"32,300",중개거래,2017,2023,경희궁자이, , , 교북동,종로구,존재하지 않음,2,16,25.9097,서울 종로구,126,11110,2
"25,000",직거래,2007,2023,명동 엠퍼스트플레이스, , , 충무로2가,중구,존재하지 않음,2,16,20.28, ,48-2,11140,4
"9,200",중개거래,1999,2023,광희동금호트윈 오피스텔, , , 광희동1가,중구,존재하지 않음,2,1,19.8,서울 중구,89-1,11140,4
"9,000",중개거래,1999,2023,광희동금호트윈 오피스텔, , , 광희동1가,중구,존재하지 않음,2,8,19.8,서울 중구,89-1,11140,6
"9,000",중개거래,1999,2023,광희동금호트윈 오피스텔, , , 광희동1가,중구,존재하지 않음,2,8,19.8,서울 중구,89-1,11140,7
"7,000",중개거래,1999,2023,광희동금호트윈 오피스텔, , , 광희동1가,중구,존재하지 않음,2,28,19.8,서울 중구,89-1,11140,15
"43,000",직거래,2006,2023,디오트, , , 신당동,중구,존재하지 않음,2,6,30.92, ,193-2,11140,7
"14,500",중개거래,2014,2023,동대문 와이즈 캐슬, , , 흥인동,중구,존재하지 않음,2,7,19.92,서울 중구,119,11140,4
"14,500",직거래,2014,2023,동대문 와이즈 캐슬, , , 흥인동,중구,존재하지 않음,2,16,19.92, ,119,11140,4
"14,500",직거래,2014,2023,동대문 와이즈 캐슬, , , 흥인동,중구,존재하지 않음,2,16,19.92, ,119,11140,3
"14,400",중개거래,2014,2023,동대문 와이즈 캐슬, , , 흥인동,중구,존재하지 않음,2,17,19.92,서울 중구,119,11140,4
"14,500",직거래,2014,2023,동대문 와이즈 캐슬, , , 흥인동,중구,존재하지 않음,2,28,19.92, ,119,11140,3
"15,300",중개거래,2014,2023,황학동 복합시설(DUO302), , , 황학동,중구,존재하지 않음,2,6,22.52,서울 중구,819,11140,13
"16,500",중개거래,2014,2023,황학동 복합시설(DUO302), , , 황학동,중구,존재하지 않음,2,7,22.52,서울 중구,819,11140,15
"16,500",중개거래,2014,2023,황학동 복합시설(DUO302), , , 황학동,중구,존재하지 않음,2,8,22.52,서울 중구,819,11140,18
"37,500",직거래,2022,2023,메르센트, , , 황학동,중구,존재하지 않음,2,9,29.97, ,959,11140,9
"37,500",직거래,2022,2023,메르센트, , , 황학동,중구,존재하지 않음,2,9,29.97, ,959,11140,8
"14,000",중개거래,2013,2023,한양 I-Class, , , 황학동,중구,존재하지 않음,2,14,19.05,서울 중구,787,11140,5
"21,700",중개거래,2015,2023,(1546), , , 황학동,중구,존재하지 않음,2,16,39.57,서울 중구,1546,11140,5
"23,800",중개거래,2021,2023,한양립스 이노와이즈, , , 황학동,중구,존재하지 않음,2,17,21.715,서울 중구,1257,11140,3
"13,000",중개거래,2004,2023,신당역올리브2, , , 황학동,중구,존재하지 않음,2,21,23.82,서울 중구,2484,11140,6
"53,560",직거래,존재하지 않음,2023,청계아델리아 II, , , 황학동,중구,존재하지 않음,2,28,44.18, ,1153,11140,6
"31,700",중개거래,2005,2023,바비엥-2, , , 의주로1가,중구,존재하지 않음,2,11,41.55,서울 용산구,25-10,11140,18
"65,000",중개거래,2005,2023,바비엥-2, , , 의주로1가,중구,존재하지 않음,2,14,80.31,서울 중구,25-10,11140,13
"18,000",직거래,2004,2023,디아뜨 센트럴, , , 원효로1가,용산구,존재하지 않음,2,16,25.19, ,112-4,11170,9
"18,200",중개거래,2004,2023,디아뜨 센트럴, , , 원효로1가,용산구,존재하지 않음,2,21,25.19,서울 용산구,112-4,11170,12
"19,000",중개거래,2003,2023,e테크밸리, , , 원효로3가,용산구,존재하지 않음,2,23,40.2,서울 용산구,51-37,11170,13
"15,500",중개거래,2003,2023,e테크밸리, , , 원효로3가,용산구,존재하지 않음,2,27,32,서울 용산구,51-37,11170,13
"36,900",중개거래,2022,2023,용산 소미 글로벌리버파크, , , 원효로3가,용산구,존재하지 않음,2,28,23.13,서울 용산구,277-8,11170,7
"30,000",중개거래,2015,2023,용산KCC웰츠타워, , , 문배동,용산구,존재하지 않음,2,2,29.69,서울 용산구,11-10,11170,4
"18,000",중개거래,2013,2023,용산큐브, , , 문배동,용산구,존재하지 않음,2,8,17.46,서울 용산구,24-4,11170,10
"18,000",중개거래,2013,2023,용산큐브, , , 문배동,용산구,존재하지 않음,2,25,17.46,서울 용산구,24-4,11170,4
"40,500",중개거래,2005,2023,용산파크자이, , , 한강로1가,용산구,존재하지 않음,2,11,33.6,서울 용산구,50-1,11170,32
"35,000",중개거래,2005,2023,한강로벽산메가트리움, , , 한강로2가,용산구,존재하지 않음,2,7,30.29,서울 용산구,2-8,11170,11
"96,290",직거래,2023,2023,디케이밸리뷰용산, , , 한강로3가,용산구,존재하지 않음,2,23,29.76, ,65-155,11170,12
"25,500",중개거래,1991,2023,삼구빌딩, , , 한강로3가,용산구,존재하지 않음,2,27,52.8,서울 용산구,16-49,11170,18
"30,000",중개거래,2016,2023,센트라스, , , 하왕십리동,성동구,존재하지 않음,2,13,32.53,서울 성동구,1070,11200,15
"32,570",중개거래,2022,2023,왕십리역 요진 와이하우스, , , 도선동,성동구,존재하지 않음,2,15,25.27,서울 강남구,2,11200,7
"33,090",중개거래,2022,2023,왕십리역 요진 와이하우스, , , 도선동,성동구,존재하지 않음,2,15,25.27,서울 강남구,2,11200,16
"32,930",중개거래,2022,2023,왕십리역 요진 와이하우스, , , 도선동,성동구,존재하지 않음,2,15,25.27,서울 강남구,2,11200,14
"32,210",중개거래,2022,2023,왕십리역 요진 와이하우스, , , 도선동,성동구,존재하지 않음,2,15,25.27,서울 강남구,2,11200,4
