거래금액,거래유형,건축년도,년,단지,매도자,매수자,법정동,시군구,월세금액,월,일,전용면적,중개사소재지,지번,지역코드,층
"38,000",중개거래,2008,2022,광화문 스페이스본, , , 사직동,종로구,존재하지 않음,9,26,39.54,서울 종로구,9,11110,11
"37,500",중개거래,2008,2022,광화문 스페이스본, , , 사직동,종로구,존재하지 않음,9,30,39.54,서울 종로구,9,11110,2
"34,000",직거래,2004,2022,용비어천가, , , 내수동,종로구,존재하지 않음,9,5,45.98, ,75,11110,14
"27,000",중개거래,2004,2022,용비어천가, , , 내수동,종로구,존재하지 않음,9,7,37.56,서울 종로구,75,11110,6
"148,000",중개거래,2020,2022,디팰리스, , , 신문로2가,종로구,존재하지 않음,9,27,70.697,서울 종로구,171,11110,5
"42,300",중개거래,2004,2022,두산위브파빌리온, , , 수송동,종로구,존재하지 않음,9,1,53.16,서울 종로구,58,11110,3
"28,000",직거래,2007,2022,르메이에르종로타운1, , , 종로1가,종로구,존재하지 않음,9,14,34.59, ,24,11110,15
"26,000",중개거래,2005,2022,운현궁 에스케이 허브, , , 경운동,종로구,존재하지 않음,9,2,30.28,서울 종로구,89-4,11110,6
"11,800",중개거래,1994,2022,종로오피스텔, , , 낙원동,종로구,존재하지 않음,9,27,20.25,서울 종로구,58-1,11110,6
"11,800",중개거래,1994,2022,종로오피스텔, , , 낙원동,종로구,존재하지 않음,9,27,20.25,서울 종로구,58-1,11110,6
"40,000",직거래,2006,2022,효성주얼리시티, , , 인의동,종로구,존재하지 않음,9,16,66.85, ,48-2,11110,5
"27,500",직거래,2021,2022,(255-1), , , 창신동,종로구,존재하지 않음,9,24,19.34, ,255-1,11110,11
"17,300",중개거래,2004,2022,종로대우디오빌, , , 숭인동,종로구,존재하지 않음,9,1,36.87,서울 동대문구,310,11110,6
"7,500",중개거래,2014,2022,디세븐, , , 숭인동,종로구,존재하지 않음,9,1,13.44,서울 종로구,313-12,11110,9
"25,500",직거래,2022,2022,한라 운종가, , , 숭인동,종로구,존재하지 않음,9,1,23.09, ,1425,11110,4
"10,600",중개거래,2014,2022,숭인한양LEEPS, , , 숭인동,종로구,존재하지 않음,9,2,17.07,서울 종로구,1421-2,11110,16
"10,000",중개거래,2013,2022,종로유케이201, , , 숭인동,종로구,존재하지 않음,9,6,15.46,서울 중랑구,201-11,11110,4
"52,000",중개거래,2022,2022,한라 운종가, , , 숭인동,종로구,존재하지 않음,9,7,49.19,"서울 성동구, 서울 종로구",1425,11110,8
"13,200",중개거래,2005,2022,동양파라빌, , , 숭인동,종로구,존재하지 않음,9,8,27.09,서울 송파구,1388,11110,12
"29,300",중개거래,2004,2022,롯데캐슬 천지인, , , 숭인동,종로구,존재하지 않음,9,24,39.6,서울 종로구,76,11110,7
"34,300",중개거래,2017,2022,경희궁자이, , , 교북동,종로구,존재하지 않음,9,4,25.6553,서울 종로구,126,11110,4
"27,000",중개거래,2007,2022,명동 엠퍼스트플레이스, , , 충무로2가,중구,존재하지 않음,9,25,20.28,서울 중구,48-2,11140,6
