거래금액,거래유형,건축년도,년,단지,매도자,매수자,법정동,시군구,월세금액,월,일,전용면적,중개사소재지,지번,지역코드,층
"31,600",중개거래,2003,2024,광화문 플래티넘,법인,법인, 적선동,종로구,존재하지 않음,3,13,51.24,서울 종로구,156,11110,7
"31,700",중개거래,2003,2024,광화문 플래티넘,법인,법인, 적선동,종로구,존재하지 않음,3,13,51.24,서울 종로구,156,11110,7
"31,700",중개거래,2003,2024,광화문 플래티넘,법인,법인, 적선동,종로구,존재하지 않음,3,13,51.24,서울 종로구,156,11110,7
"33,800",중개거래,2003,2024,광화문 플래티넘,법인,개인, 적선동,종로구,존재하지 않음,3,13,51.24,서울 종로구,156,11110,7
"17,400",중개거래,1998,2024,파크뷰타워,개인,개인, 필운동,종로구,존재하지 않음,3,5,24.3,서울 종로구,285-5,11110,2
"26,800",중개거래,2004,2024,용비어천가,개인,개인, 내수동,종로구,존재하지 않음,3,2,37.56,서울 종로구,75,11110,11
"30,150",중개거래,2004,2024,경희궁의 아침 2단지,개인,개인, 내수동,종로구,존재하지 않음,3,12,32.43,서울 종로구,71,11110,15
"29,000",중개거래,2004,2024,용비어천가,법인,개인, 내수동,종로구,존재하지 않음,3,13,41.34,서울 종로구,75,11110,3
"35,000",중개거래,2004,2024,용비어천가,개인,개인, 내수동,종로구,존재하지 않음,3,14,45.98,서울 종로구,75,11110,10
"32,000",중개거래,2004,2024,경희궁의 아침 3단지,개인,개인, 내수동,종로구,존재하지 않음,3,16,37.5,서울 종로구,72,11110,9
"22,900",중개거래,2004,2024,용비어천가,개인,개인, 내수동,종로구,존재하지 않음,3,20,30.76,서울 종로구,75,11110,5
"64,000",중개거래,2004,2024,경희궁의 아침 3단지,개인,법인, 내수동,종로구,존재하지 않음,3,22,63.1,서울 종로구,72,11110,12
"63,000",중개거래,2004,2024,경희궁의 아침 3단지,개인,법인, 내수동,종로구,존재하지 않음,3,22,63.1,서울 종로구,72,11110,12
"22,700",중개거래,2004,2024,경희궁의 아침 4단지,개인,개인, 내수동,종로구,존재하지 않음,3,24,28.24,서울 종로구,73,11110,4
"34,000",중개거래,2004,2024,경희궁의 아침 4단지,개인,개인, 내수동,종로구,존재하지 않음,3,28,41.74,서울 종로구,73,11110,14
