갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2008,신규,23.06~24.06,2023,광화문 스페이스본,사직동,"1,000",종로구,6,120,21,39.54, , ,9,11110,10
 ,2004,신규,23.07~24.07,2023,용비어천가,내수동,"1,000",종로구,6,83,1,30.76, , ,75,11110,8
 ,2004,갱신, ,2023,용비어천가,내수동,"1,000",종로구,6,95,1,42.83,"1,000",90,75,11110,14
 ,2004,신규,23.08~25.08,2023,용비어천가,내수동,"1,000",종로구,6,105,2,37.56, , ,75,11110,14
 ,2004,신규,23.06~24.06,2023,경희궁의 아침 2단지,내수동,"1,000",종로구,6,80,5,28.9, , ,71,11110,5
 ,2004,신규,23.07~24.07,2023,광화문시대,내수동,"1,000",종로구,6,100,6,32.97, , ,74,11110,17
 ,2004,신규,23.07~25.06,2023,경희궁의 아침 4단지,내수동,"1,000",종로구,6,105,10,41.74, , ,73,11110,14
 ,2004,신규,23.07~25.07,2023,경희궁의 아침 2단지,내수동,"21,000",종로구,6,0,13,25.51, , ,71,11110,6
 ,2004,신규,23.07~24.07,2023,광화문시대,내수동,"10,000",종로구,6,53,20,35.71, , ,74,11110,14
 ,2004,신규,23.07~25.07,2023,용비어천가,내수동,"21,500",종로구,6,0,21,30.36, , ,75,11110,7
 ,2004,갱신,23.07~24.07,2023,경희궁의 아침 3단지,내수동,"1,000",종로구,6,95,23,37.5,"1,000",85,72,11110,16
 ,2004,신규,23.08~25.08,2023,경희궁의 아침 2단지,내수동,"24,000",종로구,6,0,24,32.43, , ,71,11110,8
 ,2004,신규,23.07~24.07,2023,용비어천가,내수동,"24,000",종로구,6,20,27,41.34, , ,75,11110,17
 ,2020,신규,23.08~25.08,2023,디팰리스,신문로2가,"30,000",종로구,6,125,22,41.66, , ,171,11110,3
 ,2020,갱신,23.08~25.08,2023,디팰리스,신문로2가,"100,000",종로구,6,0,29,79.14,"100,000", ,171,11110,2
 ,2004, , ,2023,두산위브파빌리온,수송동,"62,000",종로구,6,0,21,70.44, , ,58,11110,4
 ,2004, , ,2023,두산위브파빌리온,수송동,"54,000",종로구,6,0,21,70.44, , ,58,11110,4
 ,2004,신규,23.08~24.08,2023,두산위브파빌리온,수송동,"22,000",종로구,6,0,23,35.22, , ,58,11110,10
 ,2004,신규,23.06~24.06,2023,BIZ-WELL 종로 오피스텔,익선동,"1,000",종로구,6,65,1,23.42, , ,34,11110,5
 ,2004,신규,23.06~24.06,2023,BIZ-WELL 종로 오피스텔,익선동,"1,000",종로구,6,60,10,23.27, , ,34,11110,9
 ,2004,신규,23.07~24.07,2023,BIZ-WELL 종로 오피스텔,익선동,"4,000",종로구,6,60,12,24.86, , ,34,11110,7
 ,2004,신규,23.06~24.06,2023,BIZ-WELL 종로 오피스텔,익선동,500,종로구,6,55,14,17.2, , ,34,11110,11
 ,2005,신규,23.08~24.08,2023,종로1번가,관철동,"1,000",종로구,6,54,28,23.86, , ,155,11110,12
 ,1994,신규,22.10~23.10,2023,종로오피스텔,낙원동,500,종로구,6,50,12,25.2, , ,58-1,11110,9
 ,2004,신규,23.07~24.10,2023,나스빌,낙원동,"1,000",종로구,6,65,16,28.69, , ,212,11110,6
 ,2020,신규,23.06~25.06,2023,종로 하이뷰 디아트,관수동,"17,080",종로구,6,0,8,18.16, , ,98-1,11110,5
 ,2020,신규,23.06~24.06,2023,종로 하이뷰 디아트,관수동,"1,000",종로구,6,76,23,18.16, , ,98-1,11110,7
 ,2021,신규,23.07~25.07,2023,루비온오피스텔,인의동,"20,000",종로구,6,0,24,18.2, , ,28-26,11110,12
 ,2021,신규,23.07~25.07,2023,루비온오피스텔,인의동,"20,000",종로구,6,0,26,18.2, , ,28-26,11110,14
 ,2003,신규,23.08~24.08,2023,코윈 팔레스뷰 오피스텔,원남동,"1,000",종로구,6,80,16,24.03, , ,95,11110,11
 ,2015,신규,23.06~24.06,2023,아르젠종로,연지동,"1,000",종로구,6,67,2,15.83, , ,163-3,11110,7
사용,2019,갱신,23.06~24.06,2023,로얄파크뷰,연지동,"17,850",종로구,6,0,4,18.66,"17,850", ,238-5,11110,7
 ,2022,신규,23.06~24.06,2023,더넥스트 종로,연지동,"5,000",종로구,6,90,8,18.66, , ,56,11110,10
사용,2019,갱신,23.07~25.07,2023,리베르떼_연지,연지동,"20,940",종로구,6,0,16,23.9,"19,950", ,222,11110,5
 ,2019,신규,23.07~25.07,2023,리베르떼_연지,연지동,"17,000",종로구,6,0,20,19.93, , ,222,11110,8
 ,2015,신규,23.06~24.06,2023,(27),연지동,"1,000",종로구,6,55,21,16.52, , ,27,11110,2
 ,2019,신규,23.07~25.07,2023,로얄파크뷰,연지동,"16,000",종로구,6,15,23,18.66, , ,238-5,11110,5
사용,2019,갱신,23.08~25.08,2023,로얄파크뷰,연지동,"16,000",종로구,6,0,24,18.06,"16,000", ,238-5,11110,5
 ,2015,신규,23.06~24.08,2023,아르젠종로,연지동,"1,000",종로구,6,65,26,15.83, , ,163-3,11110,7
 ,2022, , ,2023,더넥스트 종로,연지동,"21,000",종로구,6,0,27,18.66, , ,56,11110,4
사용,2022,갱신,23.06~25.06,2023,더넥스트 종로,연지동,"5,000",종로구,6,50,30,18.66,"7,000",40,56,11110,7
 ,2003,신규,23.06~25.06,2023,반도 보라 아이비 타워,효제동,"1,000",종로구,6,80,10,32.27, , ,45,11110,7
 ,2017,신규,23.07~24.07,2023,포레스트힐시티,효제동,"1,000",종로구,6,80,17,19.6, , ,65-2,11110,5
 ,2019,신규,23.07~24.06,2023,BS타워,효제동,"3,000",종로구,6,68,22,26.07, , ,193-1,11110,7
 ,2019,신규,23.07~25.07,2023,BS타워,효제동,"19,000",종로구,6,0,22,26.07, , ,193-1,11110,3
 ,2019,신규,23.07~24.07,2023,BS타워,효제동,"1,000",종로구,6,70,28,19.83, , ,193-1,11110,4
 ,2022,신규,23.07~25.07,2023,종로5가역 하이뷰더광장,종로5가,"20,900",종로구,6,0,10,18.97, , ,138-4,11110,16
 ,2001,신규,23.07~25.07,2023,대보마로니에텔,연건동,"1,000",종로구,6,75,23,26.52, , ,206,11110,9
 ,2011,신규,23.07~24.07,2023,CS타워,충신동,"1,000",종로구,6,75,30,35.69, , ,62-2,11110,2
 ,2014,신규,23.06~24.06,2023,숭인한양LEEPS,숭인동,500,종로구,6,60,1,17.07, , ,1421-2,11110,13
 ,2016,신규,23.06~24.06,2023,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,6,63,1,21.59, , ,1396,11110,14
 ,2005, , ,2023,경일오피스텔,숭인동,"1,000",종로구,6,60,1,22.97, , ,1367,11110,14
 ,2005,신규,23.06~24.06,2023,동양파라빌,숭인동,"1,000",종로구,6,60,2,24.93, , ,1388,11110,6
 ,2016,신규,23.06~24.06,2023,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,6,63,2,21.36, , ,1396,11110,6
사용,2020,갱신,23.06~25.06,2023,헤스티아,숭인동,"11,000",종로구,6,0,2,15.28,"11,000", ,317-48,11110,15
 ,2021,신규,23.07~26.01,2023,숭인한성아펠시티,숭인동,"1,000",종로구,6,93,3,22.28, , ,1368,11110,13
 ,2022,신규,23.07~24.07,2023,한라 운종가,숭인동,"2,000",종로구,6,155,3,41.48, , ,1425,11110,4
 ,2002,신규,23.07~25.07,2023,수석컴비즈텔,숭인동,"8,800",종로구,6,0,4,23.84, , ,55-6,11110,7
 ,2022, , ,2023,서도휴파크,숭인동,"1,717",종로구,6,18,5,17.92, , ,178-100,11110,10
 ,2022, , ,2023,서도휴파크,숭인동,"3,080",종로구,6,9,5,17.92, , ,178-100,11110,6
 ,2022, , ,2023,서도휴파크,숭인동,"4,084",종로구,6,3,5,17.92, , ,178-100,11110,7
 ,2022, , ,2023,서도휴파크,숭인동,"1,742",종로구,6,18,5,19.52, , ,178-100,11110,3
 ,2020,신규,23.07~25.07,2023,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,6,0,5,27.03, , ,217-16,11110,6
 ,2022, , ,2023,서도휴파크,숭인동,100,종로구,6,20,5,17.92, , ,178-100,11110,7
 ,2022, , ,2023,서도휴파크,숭인동,"1,633",종로구,6,17,5,17.92, , ,178-100,11110,2
 ,2022, , ,2023,서도휴파크,숭인동,"1,649",종로구,6,17,5,17.92, , ,178-100,11110,6
 ,2022, , ,2023,서도휴파크,숭인동,"1,649",종로구,6,17,5,17.92, , ,178-100,11110,6
 ,2022, , ,2023,서도휴파크,숭인동,"1,649",종로구,6,17,5,17.92, , ,178-100,11110,7
 ,2023,신규,23.06~25.06,2023,알 트라몬토 오피스텔,숭인동,"30,000",종로구,6,0,6,38.97, , ,1408,11110,2
 ,2022,신규,23.06~24.06,2023,우평 원더라움 스투디오,숭인동,"12,000",종로구,6,60,6,24.79, , ,313-17,11110,12
 ,2005,신규,23.06~24.06,2023,경일오피스텔,숭인동,"1,000",종로구,6,65,6,25.68, , ,1367,11110,9
 ,2005,신규,23.06~24.06,2023,경일오피스텔,숭인동,"1,000",종로구,6,55,6,22.55, , ,1367,11110,14
 ,2020,신규,23.07~25.07,2023,헤스티아,숭인동,"13,000",종로구,6,0,7,13.12, , ,317-48,11110,8
 ,2016,신규,23.06~24.06,2023,아폴리움 오피스텔,숭인동,"1,000",종로구,6,63,7,16.31, , ,201-7,11110,12
 ,2022, , ,2023,서도휴파크,숭인동,"3,026",종로구,6,4,8,18.47, , ,178-100,11110,7
 ,2022, , ,2023,서도휴파크,숭인동,"3,343",종로구,6,9,8,18.47, , ,178-100,11110,9
 ,2022, , ,2023,서도휴파크,숭인동,"1,735",종로구,6,18,8,18.47, , ,178-100,11110,9
 ,2022, , ,2023,서도휴파크,숭인동,"4,084",종로구,6,3,8,17.92, , ,178-100,11110,7
 ,2022, , ,2023,서도휴파크,숭인동,"1,633",종로구,6,17,8,17.92, , ,178-100,11110,3
 ,2022, , ,2023,서도휴파크,숭인동,100,종로구,6,20,8,17.92, , ,178-100,11110,3
 ,2020,신규,23.07~25.07,2023,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,6,0,8,27.18, , ,217-16,11110,6
 ,2013,신규,23.06~24.06,2023,종로 아인스빌,숭인동,"1,000",종로구,6,60,8,17.88, , ,1392-1,11110,8
 ,2013,신규,23.06~24.06,2023,(1392),숭인동,"2,000",종로구,6,55,8,20.18, , ,1392,11110,8
 ,2014,신규,23.06~25.06,2023,삼전솔하임4차,숭인동,"4,000",종로구,6,42,8,19.17, , ,318-2,11110,7
 ,2022,신규,23.08~24.07,2023,한라 운종가,숭인동,"1,000",종로구,6,94,9,21.14, , ,1425,11110,6
 ,2013,신규,23.06~24.06,2023,종로 동광모닝스카이,숭인동,500,종로구,6,58,9,19.95, , ,1421-1,11110,6
 ,2022, , ,2023,서도휴파크,숭인동,"1,833",종로구,6,19,9,19.52, , ,178-100,11110,9
 ,2005,신규,23.06~24.06,2023,경일오피스텔,숭인동,"3,000",종로구,6,45,9,18.82, , ,1367,11110,13
 ,2022, , ,2023,서도휴파크,숭인동,"1,666",종로구,6,17,9,18.47, , ,178-100,11110,5
