갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2008,신규,22.06~23.06,2022,광화문 스페이스본,사직동,"1,000",종로구,5,105,9,39.54, , ,9,11110,3
 ,2008,신규,22.06~24.06,2022,광화문 스페이스본,사직동,"1,000",종로구,5,110,21,39.54, , ,9,11110,9
 ,2008,신규,22.06~23.06,2022,광화문 스페이스본,사직동,"15,000",종로구,5,60,21,39.54, , ,9,11110,6
 ,2008,신규,22.07~23.07,2022,광화문 스페이스본,사직동,"2,000",종로구,5,106,31,39.54, , ,9,11110,4
 ,2004,신규,22.06~24.06,2022,용비어천가,내수동,"25,000",종로구,5,0,2,37.56, , ,75,11110,5
 ,2004,신규,22.06~23.06,2022,경희궁의 아침 2단지,내수동,"1,000",종로구,5,77,10,29.41, , ,71,11110,8
 ,2004,신규,22.07~23.07,2022,광화문시대,내수동,"1,000",종로구,5,85,11,34.9, , ,74,11110,13
 ,2004,신규,22.07~23.07,2022,경희궁의 아침 2단지,내수동,"1,000",종로구,5,79,13,28.9, , ,71,11110,3
 ,2004,신규,22.06~23.06,2022,용비어천가,내수동,"24,000",종로구,5,0,13,30.36, , ,75,11110,10
 ,2004,신규,22.05~23.05,2022,용비어천가,내수동,"23,000",종로구,5,0,16,34.45, , ,75,11110,9
 ,2004,신규,22.05~23.02,2022,광화문시대,내수동,"15,000",종로구,5,55,19,38.88, , ,74,11110,2
 ,2004,신규,22.07~24.07,2022,광화문시대,내수동,"27,000",종로구,5,0,23,40.26, , ,74,11110,14
 ,2004,신규,22.06~23.06,2022,용비어천가,내수동,"1,000",종로구,5,80,23,30.36, , ,75,11110,8
 ,2004,신규,22.06~23.06,2022,용비어천가,내수동,"1,000",종로구,5,80,23,30.36, , ,75,11110,11
 ,2004,신규,22.07~23.07,2022,광화문시대,내수동,"7,000",종로구,5,55,25,31.75, , ,74,11110,10
 ,2004,신규,22.09~23.09,2022,광화문시대,내수동,"4,000",종로구,5,75,25,34.9, , ,74,11110,13
 ,2004,신규,22.06~23.06,2022,광화문시대,내수동,"5,000",종로구,5,70,28,32.97, , ,74,11110,18
 ,2004,신규,22.05~23.05,2022,용비어천가,내수동,"26,000",종로구,5,0,28,33, , ,75,11110,4
 ,2004,신규,22.07~23.07,2022,광화문시대,내수동,"1,000",종로구,5,92,30,32.97, , ,74,11110,17
 ,2020,신규,22.06~24.06,2022,디팰리스,신문로2가,"255,000",종로구,5,0,27,128.81, , ,171,11110,8
 ,2004,신규,22.05~23.05,2022,BIZ-WELL 종로 오피스텔,익선동,"1,000",종로구,5,53,7,17.2, , ,34,11110,9
 ,2004,신규,22.06~23.06,2022,BIZ-WELL 종로 오피스텔,익선동,500,종로구,5,55,20,17.2, , ,34,11110,4
 ,2005,신규,22.06~23.06,2022,운현궁 에스케이 허브,경운동,"2,000",종로구,5,200,3,41.94, , ,89-4,11110,6
 ,2005,갱신,22.06~23.06,2022,운현궁 에스케이 허브,경운동,"18,000",종로구,5,0,23,23.66,"17,000", ,89-4,11110,8
 ,2005, , ,2022,운현궁 에스케이 허브,경운동,"18,000",종로구,5,0,23,23.66, , ,89-4,11110,8
 ,2022,신규,22.05~24.05,2022,신일 해피트리앤,관수동,"25,000",종로구,5,0,7,19.34, , ,4,11110,6
 ,2022,신규,22.06~24.07,2022,신일 해피트리앤,관수동,"23,500",종로구,5,0,10,19.49, , ,4,11110,5
 ,2022,신규,22.05~24.05,2022,신일 해피트리앤,관수동,"25,000",종로구,5,0,16,19.34, , ,4,11110,7
 ,2022,신규,22.05~24.05,2022,신일 해피트리앤,관수동,"1,000",종로구,5,80,19,19.34, , ,4,11110,5
 ,2022,신규,22.05~24.05,2022,신일 해피트리앤,관수동,"6,000",종로구,5,60,28,19.34, , ,4,11110,4
 ,2003,신규,22.07~24.07,2022,코윈 팔레스뷰 오피스텔,원남동,"17,000",종로구,5,0,26,24.03, , ,95,11110,9
 ,2003,갱신,22.05~23.05,2022,코윈 팔레스뷰 오피스텔,원남동,"1,000",종로구,5,57,29,21.01,"1,000",57,95,11110,12
 ,2019,신규,22.06~24.06,2022,리베르떼_연지,연지동,"20,475",종로구,5,0,1,23.9, , ,222,11110,8
 ,2020,신규,22.08~24.08,2022,종로 웰라이프,창신동,"18,900",종로구,5,0,17,24.94, , ,302-1,11110,2
사용,2020,갱신,22.06~23.06,2022,종로 웰라이프,창신동,"19,950",종로구,5,0,30,25.09,"19,000", ,302-1,11110,4
 ,2022,신규,22.05~23.05,2022,우평 원더라움 스투디오,숭인동,"12,000",종로구,5,40,1,24.68, , ,313-17,11110,5
 ,2003,신규,22.05~23.05,2022,(317-35),숭인동,200,종로구,5,40,2,11.34, , ,317-35,11110,2
 ,2022,신규,22.05~24.05,2022,우평 원더라움 스투디오,숭인동,"25,000",종로구,5,0,2,24.68, , ,313-17,11110,7
 ,2021, , ,2022,숭인한성아펠시티,숭인동,"27,000",종로구,5,0,2,22.28, , ,1368,11110,5
 ,2005,신규, ,2022,동양파라빌,숭인동,500,종로구,5,60,2,27.09, , ,1388,11110,9
 ,2022,신규,22.05~23.05,2022,우평 원더라움 스투디오,숭인동,"2,000",종로구,5,90,3,24.79, , ,313-17,11110,4
