갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2008, , ,2020,광화문 스페이스본,사직동,"1,000",종로구,12,105,5,39.54, , ,9,11110,6
 ,2004, , ,2020,광화문시대,내수동,"5,000",종로구,12,65,2,32.97, , ,74,11110,18
 ,2004, , ,2020,용비어천가,내수동,"4,000",종로구,12,75,11,37.56, , ,75,11110,7
 ,2004, , ,2020,경희궁의 아침 4단지,내수동,"1,000",종로구,12,75,12,28.24, , ,73,11110,12
 ,2004, , ,2020,경희궁의 아침 2단지,내수동,"1,000",종로구,12,80,13,32.43, , ,71,11110,10
 ,2004, , ,2020,경희궁의 아침 2단지,내수동,"23,000",종로구,12,0,15,32.43, , ,71,11110,8
 ,2004, , ,2020,광화문시대,내수동,"1,000",종로구,12,90,15,32.97, , ,74,11110,16
 ,2004, , ,2020,경희궁의 아침 4단지,내수동,"22,000",종로구,12,0,22,28.24, , ,73,11110,13
 ,2004, , ,2020,경희궁의 아침 3단지,내수동,"1,000",종로구,12,85,22,37.5, , ,72,11110,11
 ,2004, , ,2020,용비어천가,내수동,"1,000",종로구,12,90,28,37.56, , ,75,11110,6
 ,2004, , ,2020,경희궁의 아침 4단지,내수동,"1,000",종로구,12,75,29,28.24, , ,73,11110,3
 ,2004, , ,2020,용비어천가,내수동,"28,000",종로구,12,0,30,37.56, , ,75,11110,18
 ,2004, , ,2020,광화문시대,내수동,"1,000",종로구,12,75,30,31.37, , ,74,11110,17
 ,2004, , ,2020,용비어천가,내수동,"16,000",종로구,12,40,31,37.56, , ,75,11110,4
 ,2020, , ,2020,디팰리스,신문로2가,"3,000",종로구,12,170,1,41.66, , ,171,11110,3
 ,2020, , ,2020,디팰리스,신문로2가,"10,000",종로구,12,290,9,79.48, , ,171,11110,4
 ,2020, , ,2020,디팰리스,신문로2가,"70,000",종로구,12,0,10,51.34, , ,171,11110,8
 ,2004, , ,2020,두산위브파빌리온,수송동,"1,000",종로구,12,85,3,37.42, , ,58,11110,3
 ,2004, , ,2020,BIZ-WELL 종로 오피스텔,익선동,500,종로구,12,55,10,18.83, , ,34,11110,7
 ,2004, , ,2020,BIZ-WELL 종로 오피스텔,익선동,"1,000",종로구,12,55,23,23.27, , ,34,11110,7
 ,2005, , ,2020,종로1번가,관철동,"14,000",종로구,12,0,14,23.86, , ,155,11110,9
 ,2004, , ,2020,나스빌,낙원동,"1,000",종로구,12,55,22,28.58, , ,212,11110,8
