갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1998,신규,22.05~24.05,2022,파크뷰타워,필운동,"14,000",종로구,3,0,11,21.85, , ,285-5,11110,6
 ,2008,신규,22.03~24.03,2022,광화문 스페이스본,사직동,"32,000",종로구,3,0,4,39.54, , ,9,11110,5
 ,2008,신규,22.04~24.03,2022,광화문 스페이스본,사직동,"30,000",종로구,3,0,15,39.54, , ,9,11110,7
 ,2004,신규,22.04~24.04,2022,용비어천가,내수동,"23,000",종로구,3,0,5,34.45, , ,75,11110,2
 ,2004,신규,22.04~23.04,2022,용비어천가,내수동,"1,000",종로구,3,100,7,37.56, , ,75,11110,16
 ,2004,신규,22.04~24.04,2022,용비어천가,내수동,"23,000",종로구,3,0,7,33, , ,75,11110,13
 ,2004,신규,22.04~23.04,2022,용비어천가,내수동,"1,000",종로구,3,89,10,37.56, , ,75,11110,18
 ,2004,신규,22.03~24.03,2022,광화문시대,내수동,"15,000",종로구,3,25,12,32.01, , ,74,11110,14
 ,2004,신규,22.04~23.04,2022,용비어천가,내수동,"1,000",종로구,3,95,12,41.38, , ,75,11110,9
 ,2004,신규,22.04~23.04,2022,용비어천가,내수동,"1,000",종로구,3,95,16,37.56, , ,75,11110,14
 ,2004,신규, ,2022,경희궁의 아침 3단지,내수동,"1,000",종로구,3,85,17,37.5, , ,72,11110,9
 ,2004,신규,22.05~24.05,2022,용비어천가,내수동,"20,000",종로구,3,40,19,33, , ,75,11110,17
 ,2004,신규,22.04~23.04,2022,광화문시대,내수동,"1,000",종로구,3,85,21,34.9, , ,74,11110,13
 ,2004,신규,22.04~23.04,2022,경희궁의 아침 2단지,내수동,"1,000",종로구,3,95,25,32.43, , ,71,11110,14
 ,2004,신규,22.04~23.04,2022,광화문시대,내수동,"1,000",종로구,3,80,31,32.01, , ,74,11110,11
 ,2004,신규,22.05~23.05,2022,용비어천가,내수동,"3,000",종로구,3,85,31,37.56, , ,75,11110,5
 ,2020,신규,22.04~23.04,2022,디팰리스,신문로2가,"3,000",종로구,3,189,18,41.66, , ,171,11110,2
 ,2020,신규,22.04~24.04,2022,디팰리스,신문로2가,"90,000",종로구,3,0,26,51.72, , ,171,11110,6
 ,2004,신규,22.03~23.06,2022,두산위브파빌리온,수송동,"1,000",종로구,3,100,11,37.42, , ,58,11110,7
 ,2005,신규,22.04~24.04,2022,운현궁 에스케이 허브,경운동,"22,500",종로구,3,0,30,34.15, , ,89-4,11110,5
 ,2005,신규,22.04~23.04,2022,종로1번가,관철동,"1,000",종로구,3,70,3,24.64, , ,155,11110,8
 ,2005,갱신,22.05~23.05,2022,종로1번가,관철동,"1,000",종로구,3,68,15,24.64,"1,000",65,155,11110,10
 ,2021,신규,22.03~24.03,2022,루비온오피스텔,인의동,"1,000",종로구,3,73,1,18.2, , ,28-26,11110,3
 ,2021,신규,22.03~24.03,2022,루비온오피스텔,인의동,"1,000",종로구,3,73,7,18.2, , ,28-26,11110,3
 ,2021,신규,22.04~24.03,2022,루비온오피스텔,인의동,"1,000",종로구,3,80,28,18.2, , ,28-26,11110,2
 ,2021,신규,22.04~24.04,2022,루비온오피스텔,인의동,"19,000",종로구,3,0,28,18.2, , ,28-26,11110,8
 ,2003,신규,22.03~24.03,2022,코윈 팔레스뷰 오피스텔,원남동,"1,000",종로구,3,70,5,24.03, , ,95,11110,11
 ,2021,갱신,24.07~26.06,2022,대보 마로니에시티,연지동,"5,063",종로구,3,19,11,25.07,63,44,231,11110,13
 ,2003,신규,22.03~23.03,2022,반도 보라 아이비 타워,효제동,"1,000",종로구,3,72,2,27.58, , ,45,11110,11
 ,2017,신규,22.03~24.03,2022,포레스트힐시티,효제동,"1,000",종로구,3,70,3,23.24, , ,65-2,11110,6
 ,2003,신규,22.03~24.03,2022,반도 보라 아이비 타워,효제동,"1,000",종로구,3,75,5,31.31, , ,45,11110,7
 ,2020,신규,22.04~23.04,2022,센트럴시티대학로,효제동,"1,000",종로구,3,75,29,17.57, , ,167,11110,11
 ,2021, , ,2022,(255-1),창신동,"24,300",종로구,3,0,8,16.01, , ,255-1,11110,10
 ,2021,신규,22.04~24.04,2022,(255-1),창신동,"25,000",종로구,3,0,19,17.8, , ,255-1,11110,9
 ,2021, , ,2022,(255-1),창신동,"24,300",종로구,3,0,22,16.01, , ,255-1,11110,10
 ,2021, , ,2022,(255-1),창신동,"24,500",종로구,3,0,31,15.59, , ,255-1,11110,11
 ,2020, , ,2022,블루카운티 숭인Ⅰ,숭인동,"23,000",종로구,3,0,2,26.88, , ,217-16,11110,3
 ,2013,신규,22.03~23.03,2022,종로 동광모닝스카이,숭인동,500,종로구,3,55,2,19.95, , ,1421-1,11110,2
 ,2016,갱신,22.03~23.03,2022,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,3,63,2,21.36,"1,000",60,1396,11110,11
 ,2012,신규,22.04~24.03,2022,삼전솔하임2차,숭인동,"13,000",종로구,3,0,2,21.12, , ,296-19,11110,3
 ,2004,신규,22.03~23.09,2022,롯데캐슬 천지인,숭인동,"15,000",종로구,3,30,2,39.6, , ,76,11110,12
 ,2020,신규,22.03~24.03,2022,블루카운티 숭인Ⅰ,숭인동,"20,000",종로구,3,20,3,26.73, , ,217-16,11110,9
 ,2016,갱신,22.03~24.03,2022,아이비씨 호텔 앤 오피스텔,숭인동,"14,175",종로구,3,0,4,21.62,"12,500", ,1396,11110,15
 ,2022,신규,22.03~24.03,2022,동대문 아이리스,숭인동,"17,000",종로구,3,0,4,19.67, , ,317-58,11110,5
 ,2016,신규,22.03~23.03,2022,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,3,63,4,21.62, , ,1396,11110,11
 ,2020,신규,22.03~24.03,2022,블루카운티 숭인Ⅰ,숭인동,"3,000",종로구,3,75,5,26.88, , ,217-16,11110,9
사용,2016,갱신,22.04~23.04,2022,아이비씨 호텔 앤 오피스텔,숭인동,"14,175",종로구,3,0,7,21.36,"13,500", ,1396,11110,10
 ,2016,신규,22.03~23.03,2022,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,3,63,8,21.59, , ,1396,11110,12
 ,2016,신규,22.04~24.04,2022,아폴리움 오피스텔,숭인동,"13,500",종로구,3,0,9,16.31, , ,201-7,11110,6
 ,2013,신규,22.04~24.04,2022,버넷하임1,숭인동,"13,200",종로구,3,0,10,24.65, , ,1421,11110,2
 ,2014,신규,22.04~23.04,2022,삼전솔하임4차,숭인동,"2,000",종로구,3,50,10,19.17, , ,318-2,11110,9
 ,2013,신규,22.03~23.03,2022,(1392),숭인동,"1,000",종로구,3,49,10,18.64, , ,1392,11110,8
 ,2017, , ,2022,블루빌,숭인동,"25,200",종로구,3,0,10,46.36, , ,243,11110,2
 ,2005,신규,22.04~23.04,2022,동양파라빌,숭인동,"3,500",종로구,3,40,11,24.93, , ,1388,11110,9
 ,2016,신규,22.03~23.03,2022,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,3,63,12,21.62, , ,1396,11110,17
 ,2016,신규,22.03~23.03,2022,아이비씨 호텔 앤 오피스텔,숭인동,"1,200",종로구,3,110,12,43.29, , ,1396,11110,16
 ,2019,신규,22.03~23.03,2022,케이디오피스텔,숭인동,"2,000",종로구,3,58,12,18.18, , ,217-26,11110,2
 ,2014,신규,22.03~23.03,2022,숭인한양LEEPS,숭인동,"3,000",종로구,3,40,12,17.07, , ,1421-2,11110,14
사용,2016,갱신,22.04~24.03,2022,아이비씨 호텔 앤 오피스텔,숭인동,"14,175",종로구,3,0,16,21.62,"13,500", ,1396,11110,14
 ,2005,신규,22.04~23.04,2022,동양파라빌,숭인동,"1,000",종로구,3,110,16,54.81, , ,1388,11110,8
 ,2004, , ,2022,롯데캐슬 천지인,숭인동,"15,000",종로구,3,20,16,39.6, , ,76,11110,2
 ,2014,신규,22.04~24.04,2022,디세븐,숭인동,"8,000",종로구,3,0,17,15.04, , ,313-12,11110,4
 ,2005,신규,22.04~23.04,2022,동양파라빌,숭인동,"1,000",종로구,3,55,18,24.93, , ,1388,11110,3
 ,2022,신규,22.03~24.03,2022,동대문 아이리스,숭인동,"17,000",종로구,3,0,18,19.67, , ,317-58,11110,6
 ,2005,신규,22.03~23.03,2022,동양파라빌,숭인동,"1,000",종로구,3,60,19,27.09, , ,1388,11110,9
 ,2004,신규,22.04~23.03,2022,종로대우디오빌,숭인동,"1,000",종로구,3,63,22,29.65, , ,310,11110,9
 ,2016,신규,22.03~23.03,2022,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,3,63,22,23.24, , ,1396,11110,15
 ,2022,신규,22.05~23.05,2022,우평 원더라움 스투디오,숭인동,"1,000",종로구,3,87,23,24.68, , ,313-17,11110,11
 ,2022,신규,22.04~24.04,2022,우평 원더라움 스투디오,숭인동,"3,000",종로구,3,110,23,29.97, , ,313-17,11110,3
 ,2022,신규,22.04~24.04,2022,우평 원더라움 스투디오,숭인동,"1,000",종로구,3,95,24,24.68, , ,313-17,11110,13
 ,2005,신규,22.04~23.04,2022,경일오피스텔,숭인동,"1,000",종로구,3,55,25,25.68, , ,1367,11110,9
 ,2005, , ,2022,경일오피스텔,숭인동,"3,000",종로구,3,45,26,25.68, , ,1367,11110,3
 ,2013,신규,22.04~24.04,2022,버넷하임1,숭인동,"14,000",종로구,3,0,26,25.88, , ,1421,11110,7
