갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2008, , ,2020,광화문 스페이스본,사직동,"1,000",종로구,11,110,29,39.54, , ,9,11110,6
 ,2004, , ,2020,용비어천가,내수동,"1,000",종로구,11,90,3,37.56, , ,75,11110,4
 ,2004, , ,2020,용비어천가,내수동,"24,000",종로구,11,0,4,30.36, , ,75,11110,12
 ,2004, , ,2020,광화문시대,내수동,"5,000",종로구,11,90,6,38.88, , ,74,11110,4
 ,2004, , ,2020,용비어천가,내수동,"26,000",종로구,11,0,13,37.56, , ,75,11110,15
 ,2004, , ,2020,경희궁의 아침 3단지,내수동,"1,000",종로구,11,83,14,37.5, , ,72,11110,9
 ,2004, , ,2020,용비어천가,내수동,"19,950",종로구,11,0,14,30.76, , ,75,11110,2
 ,2004, , ,2020,경희궁의 아침 2단지,내수동,"3,000",종로구,11,75,14,32.43, , ,71,11110,16
 ,2004, , ,2020,광화문시대,내수동,"8,000",종로구,11,55,16,31.75, , ,74,11110,2
 ,2004, , ,2020,용비어천가,내수동,"24,000",종로구,11,0,17,37.56, , ,75,11110,9
 ,2004, , ,2020,용비어천가,내수동,"1,000",종로구,11,95,17,42.83, , ,75,11110,8
 ,2004, , ,2020,용비어천가,내수동,"27,000",종로구,11,0,18,42.39, , ,75,11110,9
 ,2004, , ,2020,경희궁의 아침 4단지,내수동,"13,000",종로구,11,35,19,28.24, , ,73,11110,9
 ,2004, , ,2020,경희궁의 아침 4단지,내수동,"1,000",종로구,11,77,23,28.24, , ,73,11110,2
 ,2004, , ,2020,경희궁의 아침 3단지,내수동,"1,000",종로구,11,85,24,37.5, , ,72,11110,7
 ,2004, , ,2020,광화문시대,내수동,"1,000",종로구,11,75,25,32.01, , ,74,11110,11
 ,2004, , ,2020,용비어천가,내수동,"1,000",종로구,11,95,26,42.46, , ,75,11110,5
 ,2020, , ,2020,디팰리스,신문로2가,"5,000",종로구,11,400,30,79.72, , ,171,11110,5
 ,2004, , ,2020,두산위브파빌리온,수송동,"42,000",종로구,11,0,30,74.84, , ,58,11110,9
 ,2007, , ,2020,르메이에르종로타운1,종로1가,"15,000",종로구,11,30,3,36.23, , ,24,11110,20
 ,2007, , ,2020,르메이에르종로타운1,종로1가,"19,000",종로구,11,0,14,34.59, , ,24,11110,19
 ,2008, , ,2020,종로1가 대성스카이렉스,견지동,"23,000",종로구,11,0,2,40.45, , ,110,11110,9
 ,2004, , ,2020,BIZ-WELL 종로 오피스텔,익선동,"2,000",종로구,11,60,3,32.12, , ,34,11110,5
 ,2005, , ,2020,운현궁 에스케이 허브,경운동,"3,000",종로구,11,65,2,23.66, , ,89-4,11110,3
 ,2005, , ,2020,종로1번가,관철동,"1,000",종로구,11,60,10,24.64, , ,155,11110,10
 ,2020, , ,2020,종로 하이뷰 디아트,관수동,"6,000",종로구,11,45,3,18.16, , ,98-1,11110,8
 ,2020, , ,2020,종로 하이뷰 디아트,관수동,"19,000",종로구,11,0,7,18.16, , ,98-1,11110,6
 ,2020, , ,2020,종로 하이뷰 디아트,관수동,"3,000",종로구,11,50,17,18.16, , ,98-1,11110,4
 ,2020, , ,2020,종로 하이뷰 디아트,관수동,"20,000",종로구,11,0,17,18.16, , ,98-1,11110,8
 ,2020, , ,2020,종로 하이뷰 디아트,관수동,"2,000",종로구,11,65,23,18.16, , ,98-1,11110,10
 ,2020, , ,2020,종로 하이뷰 디아트,관수동,"3,000",종로구,11,50,30,18.16, , ,98-1,11110,3
 ,2003, , ,2020,코윈 팔레스뷰 오피스텔,원남동,"20,000",종로구,11,0,28,32.8, , ,95,11110,12
 ,2020, , ,2020,센트럴시티대학로,효제동,"3,500",종로구,11,45,23,17.57, , ,167,11110,8
 ,2020, , ,2020,센트럴시티대학로,효제동,"20,000",종로구,11,0,24,17.28, , ,167,11110,4
 ,2020, , ,2020,센트럴시티대학로,효제동,"3,500",종로구,11,45,25,17.57, , ,167,11110,9
 ,2020, , ,2020,센트럴시티대학로,효제동,"2,000",종로구,11,59,28,17.28, , ,167,11110,10
 ,2020, , ,2020,센트럴시티대학로,효제동,"3,500",종로구,11,45,28,17.28, , ,167,11110,11
 ,2001, , ,2020,대보마로니에텔,연건동,"1,000",종로구,11,60,8,25.04, , ,206,11110,8
 ,2013, , ,2020,(1392),숭인동,500,종로구,11,53,2,20.18, , ,1392,11110,7
 ,2020, , ,2020,헤스티아,숭인동,"12,500",종로구,11,0,4,14.9, , ,317-48,11110,4
 ,2019, , ,2020,케이디오피스텔,숭인동,"16,100",종로구,11,0,4,18.18, , ,217-26,11110,3
 ,2013, , ,2020,종로 동광모닝스카이,숭인동,"10,600",종로구,11,0,4,19.95, , ,1421-1,11110,7
 ,2020, , ,2020,우영빌딩,숭인동,"25,000",종로구,11,0,4,42.57, , ,72-83,11110,6
 ,2013, , ,2020,버넷하임1,숭인동,"13,000",종로구,11,0,6,34.49, , ,1421,11110,2
 ,2013, , ,2020,(1392),숭인동,"12,000",종로구,11,0,6,19.84, , ,1392,11110,9
 ,2013, , ,2020,종로 중흥 S클래스,숭인동,"1,000",종로구,11,50,9,22.44, , ,202-3,11110,2
 ,2016, , ,2020,아이비씨 호텔 앤 오피스텔,숭인동,"13,500",종로구,11,0,9,21.45, , ,1396,11110,11
 ,2005, , ,2020,동양파라빌,숭인동,"1,000",종로구,11,58,10,27.09, , ,1388,11110,6
 ,2013, , ,2020,(1392),숭인동,"10,700",종로구,11,0,10,20.18, , ,1392,11110,5
 ,2005, , ,2020,동양파라빌,숭인동,"1,000",종로구,11,50,10,24.93, , ,1388,11110,3
 ,2016, , ,2020,아이비씨 호텔 앤 오피스텔,숭인동,"13,500",종로구,11,0,10,21.45, , ,1396,11110,10
 ,2013, , ,2020,버넷하임1,숭인동,"3,000",종로구,11,45,10,25.88, , ,1421,11110,5
 ,2005, , ,2020,동양파라빌,숭인동,"4,000",종로구,11,40,10,27.09, , ,1388,11110,11
 ,2013, , ,2020,종로 동광모닝스카이,숭인동,"12,000",종로구,11,0,11,19.95, , ,1421-1,11110,3
 ,2020, , ,2020,헤스티아,숭인동,"12,000",종로구,11,0,11,13.12, , ,317-48,11110,7
 ,2020, , ,2020,헤스티아,숭인동,"12,500",종로구,11,0,12,14.71, , ,317-48,11110,17
 ,2014, , ,2020,삼전솔하임4차,숭인동,"12,000",종로구,11,0,12,19.17, , ,318-2,11110,5
 ,2005, , ,2020,동양파라빌,숭인동,"5,000",종로구,11,30,12,24.93, , ,1388,11110,10
