갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1998, , ,2020,파크뷰타워,필운동,"15,000",종로구,1,0,21,23.24, , ,285-5,11110,7
 ,2004, , ,2020,경희궁의 아침 2단지,내수동,"1,000",종로구,1,85,1,32.43, , ,71,11110,16
 ,2004, , ,2020,용비어천가,내수동,"21,000",종로구,1,0,3,33, , ,75,11110,13
 ,2004, , ,2020,광화문시대,내수동,"22,000",종로구,1,70,3,56.56, , ,74,11110,13
 ,2004, , ,2020,경희궁의 아침 4단지,내수동,"13,000",종로구,1,75,10,56.48, , ,73,11110,16
 ,2004, , ,2020,광화문시대,내수동,"25,000",종로구,1,60,10,56.56, , ,74,11110,6
 ,2004, , ,2020,광화문시대,내수동,"2,000",종로구,1,85,11,34.9, , ,74,11110,2
 ,2004, , ,2020,용비어천가,내수동,"28,000",종로구,1,0,11,37.56, , ,75,11110,18
 ,2004, , ,2020,용비어천가,내수동,"8,000",종로구,1,50,13,28.19, , ,75,11110,5
 ,2004, , ,2020,광화문시대,내수동,"5,000",종로구,1,65,14,32.01, , ,74,11110,5
 ,2004, , ,2020,경희궁의 아침 2단지,내수동,"35,000",종로구,1,0,14,57.8, , ,71,11110,12
 ,2004, , ,2020,경희궁의 아침 2단지,내수동,"20,000",종로구,1,85,14,57.8, , ,71,11110,14
 ,2004, , ,2020,광화문시대,내수동,"24,000",종로구,1,10,16,40.26, , ,74,11110,14
 ,2004, , ,2020,용비어천가,내수동,"15,000",종로구,1,60,16,45.98, , ,75,11110,10
 ,2004, , ,2020,용비어천가,내수동,"1,000",종로구,1,90,17,37.56, , ,75,11110,6
 ,2004, , ,2020,용비어천가,내수동,"18,000",종로구,1,35,17,42.39, , ,75,11110,11
 ,2004, , ,2020,용비어천가,내수동,"1,000",종로구,1,100,18,37.67, , ,75,11110,9
 ,2004, , ,2020,광화문시대,내수동,"25,000",종로구,1,0,20,40.26, , ,74,11110,9
 ,2004, , ,2020,경희궁의 아침 3단지,내수동,"3,000",종로구,1,75,20,37.5, , ,72,11110,11
 ,2004, , ,2020,광화문시대,내수동,"1,000",종로구,1,80,28,31.75, , ,74,11110,9
 ,2004, , ,2020,용비어천가,내수동,"23,000",종로구,1,0,31,41.34, , ,75,11110,11
 ,2004, , ,2020,견지동빌딩,견지동,"25,000",종로구,1,0,16,52.15, , ,110-32,11110,14
 ,2004, , ,2020,BIZ-WELL 종로 오피스텔,익선동,500,종로구,1,65,22,23.14, , ,34,11110,10
 ,2004, , ,2020,나스빌,낙원동,"2,000",종로구,1,45,10,28.69, , ,212,11110,4
 ,2019, , ,2020,드래곤팰리스,돈의동,"1,000",종로구,1,80,9,23.38, , ,41-1,11110,6
 ,2006, , ,2020,효성주얼리시티,인의동,"34,500",종로구,1,13,3,73.79, , ,48-2,11110,4
 ,2003, , ,2020,코윈 팔레스뷰 오피스텔,원남동,"17,000",종로구,1,0,20,32.8, , ,95,11110,7
 ,2019, , ,2020,리베르떼_연지,연지동,"16,000",종로구,1,0,8,19.93, , ,222,11110,8
 ,2019, , ,2020,로얄파크뷰,연지동,"26,000",종로구,1,0,11,36.74, , ,238-5,11110,4
 ,2019, , ,2020,리베르떼_연지,연지동,"18,000",종로구,1,0,13,23.2, , ,222,11110,7
 ,2019, , ,2020,로얄파크뷰,연지동,"26,500",종로구,1,0,17,37.18, , ,238-5,11110,4
 ,2003, , ,2020,반도 보라 아이비 타워,효제동,"1,000",종로구,1,65,19,26.58, , ,45,11110,6
 ,2001, , ,2020,대보마로니에텔,연건동,"1,000",종로구,1,63,9,25.04, , ,206,11110,6
 ,2001, , ,2020,대보마로니에텔,연건동,"1,000",종로구,1,60,9,25.04, , ,206,11110,6
 ,2001, , ,2020,대보마로니에텔,연건동,"1,000",종로구,1,60,16,26.52, , ,206,11110,6
 ,2013, , ,2020,(1392),숭인동,"12,000",종로구,1,0,2,20.18, , ,1392,11110,4
 ,2013, , ,2020,종로 아인스빌,숭인동,"12,000",종로구,1,0,4,17.88, , ,1392-1,11110,4
 ,2016, , ,2020,아폴리움 오피스텔,숭인동,"12,600",종로구,1,0,4,15.2, , ,201-7,11110,3
 ,2016, , ,2020,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,1,60,6,21.36, , ,1396,11110,9
 ,2005, , ,2020,동양파라빌,숭인동,"1,000",종로구,1,55,6,24.93, , ,1388,11110,12
 ,2016, , ,2020,아이비씨 호텔 앤 오피스텔,숭인동,"13,000",종로구,1,0,9,21.45, , ,1396,11110,9
 ,2004, , ,2020,종로대우디오빌,숭인동,"17,000",종로구,1,0,10,29.65, , ,310,11110,7
 ,2014, , ,2020,삼전솔하임4차,숭인동,"3,000",종로구,1,39,11,19.17, , ,318-2,11110,6
 ,2013, , ,2020,(1392),숭인동,"2,000",종로구,1,47,11,20.18, , ,1392,11110,8
 ,2004, , ,2020,롯데캐슬 천지인,숭인동,"2,000",종로구,1,120,13,67.96, , ,76,11110,11
 ,2013, , ,2020,그레이스탑,숭인동,"3,000",종로구,1,40,13,20.16, , ,178-94,11110,4
 ,2005, , ,2020,동양파라빌,숭인동,"1,000",종로구,1,55,14,24.93, , ,1388,11110,13
 ,2012, , ,2020,삼전솔하임2차,숭인동,"1,000",종로구,1,50,15,19.18, , ,296-19,11110,2
 ,2014, , ,2020,삼전솔하임4차,숭인동,"12,600",종로구,1,0,15,19.17, , ,318-2,11110,6
 ,2013, , ,2020,종로유케이201,숭인동,"9,500",종로구,1,0,16,15.24, , ,201-11,11110,3
 ,2004, , ,2020,롯데캐슬 천지인,숭인동,"2,000",종로구,1,120,17,67.96, , ,76,11110,18
 ,2016, , ,2020,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,1,60,17,21.62, , ,1396,11110,18
 ,2004, , ,2020,롯데캐슬 천지인,숭인동,"22,000",종로구,1,0,17,39.6, , ,76,11110,19
 ,2013, , ,2020,종로 아인스빌,숭인동,"2,500",종로구,1,42,18,17.88, , ,1392-1,11110,7
 ,2004, , ,2020,롯데캐슬 천지인,숭인동,"1,000",종로구,1,80,18,39.6, , ,76,11110,15
 ,2005, , ,2020,동양파라빌,숭인동,"1,000",종로구,1,90,20,40.5, , ,1388,11110,14
 ,2014, , ,2020,삼전솔하임4차,숭인동,"1,000",종로구,1,55,21,19.17, , ,318-2,11110,7
 ,2005, , ,2020,동양파라빌,숭인동,"2,000",종로구,1,55,21,27.09, , ,1388,11110,12
 ,2016, , ,2020,아이비씨 호텔 앤 오피스텔,숭인동,"13,500",종로구,1,0,21,21.62, , ,1396,11110,11
 ,2013, , ,2020,버넷하임1,숭인동,"13,000",종로구,1,0,22,24.77, , ,1421,11110,10
 ,2005, , ,2020,경일오피스텔,숭인동,"2,000",종로구,1,41,22,20.14, , ,1367,11110,6
 ,2014, , ,2020,숭인한양LEEPS,숭인동,"12,000",종로구,1,0,28,17.07, , ,1421-2,11110,17
 ,2004, , ,2020,롯데캐슬 천지인,숭인동,"21,000",종로구,1,0,29,39.6, , ,76,11110,17
 ,2005, , ,2020,동양파라빌,숭인동,"12,500",종로구,1,0,30,24.93, , ,1388,11110,5
 ,2016, , ,2020,아이비씨 호텔 앤 오피스텔,숭인동,"1,200",종로구,1,105,30,43.29, , ,1396,11110,16
 ,2020, , ,2020,블루카운티 숭인Ⅰ,숭인동,"25,000",종로구,1,0,31,26.63, , ,217-16,11110,8
 ,2017, , ,2020,경희궁자이,교북동,"1,000",종로구,1,84,4,25.91, , ,126,11110,5
 ,2002, , ,2020,타임730오피스텔,부암동,"13,000",종로구,1,0,14,34.06, , ,129-8,11110,6
 ,2007, , ,2020,명동 엠퍼스트플레이스,충무로2가,"1,000",중구,1,75,2,18.6, , ,48-2,11140,6
 ,2007, , ,2020,명동 엠퍼스트플레이스,충무로2가,"20,000",중구,1,0,7,18.6, , ,48-2,11140,5
 ,2007, , ,2020,명동 엠퍼스트플레이스,충무로2가,"2,000",중구,1,70,7,18.6, , ,48-2,11140,9
 ,2007, , ,2020,명동 엠퍼스트플레이스,충무로2가,"1,000",중구,1,75,10,18.6, , ,48-2,11140,11
 ,2007, , ,2020,명동 엠퍼스트플레이스,충무로2가,"5,000",중구,1,60,14,20.28, , ,48-2,11140,3
 ,2007, , ,2020,명동 엠퍼스트플레이스,충무로2가,"22,000",중구,1,0,31,17.59, , ,48-2,11140,13
 ,2016, , ,2020,충무로엘크루메트로시티2,충무로5가,"2,000",중구,1,65,8,23.03, , ,36-2,11140,9
 ,2016, , ,2020,충무로엘크루메트로시티2,충무로5가,"1,000",중구,1,85,12,23.03, , ,36-2,11140,20
 ,2016, , ,2020,충무로엘크루메트로시티2,충무로5가,"1,000",중구,1,85,12,23.03, , ,36-2,11140,20
 ,2016, , ,2020,충무로엘크루메트로시티2,충무로5가,"1,000",중구,1,120,15,37.07, , ,36-2,11140,6
 ,2016, , ,2020,충무로엘크루메트로시티2,충무로5가,"1,000",중구,1,70,29,23.03, , ,36-2,11140,12
 ,존재하지 않음, , ,2020,동원스위트광희,광희동2가,"24,000",중구,1,0,4,35.55, , ,47-2,11140,8
 ,존재하지 않음, , ,2020,동원스위트광희,광희동2가,"27,000",중구,1,0,23,35.28, , ,47-2,11140,8
 ,2019, , ,2020,을지 웰 라이프,을지로4가,"1,000",중구,1,100,8,29.93, , ,187-9,11140,7
 ,2019, , ,2020,을지 웰 라이프,을지로4가,"23,000",중구,1,0,26,32.63, , ,187-9,11140,3
 ,2018, , ,2020,제이매크로 타워,저동2가,"1,000",중구,1,75,3,19.35, , ,7-2,11140,12
 ,2018, , ,2020,제이매크로 타워,저동2가,"22,000",중구,1,0,7,24.85, , ,7-2,11140,12
 ,2018, , ,2020,제이매크로 타워,저동2가,"2,000",중구,1,150,15,46.93, , ,7-2,11140,13
 ,2018, , ,2020,제이매크로 타워,저동2가,"5,000",중구,1,65,21,22.6, , ,7-2,11140,5
 ,2003, , ,2020,(340-123),신당동,"15,000",중구,1,0,2,22.08, , ,340-123,11140,3
 ,2014, , ,2020,신당아르브,신당동,"4,000",중구,1,50,3,21.31, , ,160-5,11140,17
 ,2016, , ,2020,신당역솔하임,신당동,"19,000",중구,1,0,6,18.8, , ,140-23,11140,8
 ,2014, , ,2020,신당아르브,신당동,"1,000",중구,1,65,7,21.31, , ,160-5,11140,11
 ,2003, , ,2020,(340-123),신당동,"14,000",중구,1,0,10,22.08, , ,340-123,11140,4
 ,2014, , ,2020,신당아르브,신당동,"14,700",중구,1,0,10,21.31, , ,160-5,11140,12
 ,2015, , ,2020,승리빌딩,신당동,"11,000",중구,1,0,10,18.3, , ,309-45,11140,6
 ,2018, , ,2020,아리스타 에스디,신당동,"3,000",중구,1,66,13,18.7, , ,160-1,11140,11
 ,2003, , ,2020,(340-123),신당동,"14,000",중구,1,0,15,20.89, , ,340-123,11140,3
 ,2003, , ,2020,(340-123),신당동,"15,000",중구,1,0,18,22.4, , ,340-123,11140,2
 ,2013, , ,2020,(91),흥인동,"16,000",중구,1,0,2,22.89, , ,91,11140,4
