갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1998, , ,2020,파크뷰타워,필운동,200,종로구,4,90,11,24.3, , ,285-5,11110,3
 ,2008, , ,2020,광화문 스페이스본,사직동,"30,000",종로구,4,0,8,39.54, , ,9,11110,3
 ,2008, , ,2020,광화문 스페이스본,사직동,"30,000",종로구,4,0,11,39.54, , ,9,11110,7
 ,2008, , ,2020,광화문 스페이스본,사직동,"27,000",종로구,4,0,14,39.54, , ,9,11110,6
 ,2008, , ,2020,광화문 스페이스본,사직동,"30,450",종로구,4,0,23,39.54, , ,9,11110,2
 ,2004, , ,2020,광화문시대,내수동,"2,000",종로구,4,80,1,34.9, , ,74,11110,12
 ,2004, , ,2020,용비어천가,내수동,"21,000",종로구,4,0,7,34.45, , ,75,11110,2
 ,2004, , ,2020,경희궁의 아침 3단지,내수동,"6,000",종로구,4,60,8,37.5, , ,72,11110,7
 ,2004, , ,2020,용비어천가,내수동,"22,000",종로구,4,0,10,33, , ,75,11110,11
 ,2004, , ,2020,광화문시대,내수동,"6,000",종로구,4,65,17,34.9, , ,74,11110,3
 ,2004, , ,2020,광화문시대,내수동,"1,000",종로구,4,95,17,35.71, , ,74,11110,18
 ,2004, , ,2020,경희궁의 아침 2단지,내수동,"1,000",종로구,4,75,18,28.9, , ,71,11110,4
 ,2004, , ,2020,경희궁의 아침 3단지,내수동,"6,000",종로구,4,60,21,37.5, , ,72,11110,7
 ,2004, , ,2020,경희궁의 아침 3단지,내수동,"1,000",종로구,4,85,23,37.5, , ,72,11110,10
 ,2004, , ,2020,경희궁의 아침 3단지,내수동,"10,000",종로구,4,60,25,37.5, , ,72,11110,11
 ,2004, , ,2020,경희궁의 아침 3단지,내수동,"30,000",종로구,4,0,25,37.5, , ,72,11110,12
 ,2004, , ,2020,용비어천가,내수동,"30,000",종로구,4,0,28,41.34, , ,75,11110,17
 ,2004, , ,2020,경희궁의 아침 2단지,내수동,"36,000",종로구,4,0,29,51.02, , ,71,11110,6
 ,2004, , ,2020,경희궁의 아침 4단지,내수동,"15,000",종로구,4,45,29,41.74, , ,73,11110,16
 ,2004, , ,2020,두산위브파빌리온,수송동,"2,000",종로구,4,145,14,57.65, , ,58,11110,5
 ,2004, , ,2020,BIZ-WELL 종로 오피스텔,익선동,"3,000",종로구,4,50,18,23.14, , ,34,11110,8
 ,2005, , ,2020,운현궁 에스케이 허브,경운동,"30,000",종로구,4,0,6,49.68, , ,89-4,11110,13
