갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1998,신규,24.03~25.02,2024,파크뷰타워,필운동,"1,000",종로구,3,100,4,24.3, , ,285-5,11110,3
 ,1998,신규,24.05~25.04,2024,파크뷰타워,필운동,"1,000",종로구,3,70,18,27.62, , ,285-5,11110,4
 ,2008,신규,24.03~26.03,2024,광화문 스페이스본,사직동,"32,000",종로구,3,0,5,39.54, , ,9,11110,3
 ,2008,신규,24.03~26.03,2024,광화문 스페이스본,사직동,"32,000",종로구,3,0,5,39.54, , ,9,11110,3
 ,2008,신규,24.03~26.03,2024,광화문 스페이스본,사직동,"25,000",종로구,3,20,15,39.54, , ,9,11110,4
 ,2008,신규,24.04~25.04,2024,광화문 스페이스본,사직동,"2,000",종로구,3,120,21,39.54, , ,9,11110,8
 ,2008, , ,2024,광화문 스페이스본,사직동,"32,000",종로구,3,0,23,39.54, , ,9,11110,4
 ,2008,신규,24.05~25.05,2024,광화문 스페이스본,사직동,"32,000",종로구,3,0,28,39.54, , ,9,11110,5
 ,2008,갱신,24.03~26.03,2024,광화문 스페이스본,사직동,"25,500",종로구,3,0,31,39.54,"25,000", ,9,11110,3
 ,2004,신규,24.04~25.04,2024,광화문시대,내수동,"1,000",종로구,3,84,5,32.01, , ,74,11110,15
 ,2004,신규,24.06~26.06,2024,경희궁의 아침 4단지,내수동,"22,000",종로구,3,0,9,28.24, , ,73,11110,5
 ,2004,신규,24.03~25.03,2024,경희궁의 아침 2단지,내수동,"1,000",종로구,3,90,9,32.43, , ,71,11110,16
 ,2004,갱신,24.03~25.03,2024,용비어천가,내수동,"2,000",종로구,3,86,10,30.76,"2,000",84,75,11110,15
 ,2004,신규,24.04~26.04,2024,용비어천가,내수동,"21,000",종로구,3,0,12,30.36, , ,75,11110,13
 ,2004,신규,24.04~25.04,2024,광화문시대,내수동,"10,000",종로구,3,75,12,38.88, , ,74,11110,2
 ,2004,신규,24.05~26.04,2024,광화문시대,내수동,"5,000",종로구,3,210,14,73.78, , ,74,11110,14
 ,2004,신규,24.04~26.04,2024,경희궁의 아침 2단지,내수동,"25,000",종로구,3,0,15,32.43, , ,71,11110,13
 ,2004,신규,24.03~25.03,2024,경희궁의 아침 4단지,내수동,"1,000",종로구,3,115,15,41.74, , ,73,11110,10
 ,2004,신규,24.03~25.03,2024,경희궁의 아침 2단지,내수동,"1,000",종로구,3,95,15,32.43, , ,71,11110,8
 ,2004,신규,24.04~26.04,2024,경희궁의 아침 4단지,내수동,"21,000",종로구,3,0,18,28.24, , ,73,11110,6
 ,2004,신규,24.03~26.03,2024,광화문시대,내수동,"12,000",종로구,3,55,18,34.9, , ,74,11110,10
