manageNo,parkNm,parkSe,rdnmadr,lnmadr,latitude,longitude,parkAr,appnNtfcDate,institutionNm,phoneNumber,referenceDate,insttCode
11350-00001,수락산<시공원>,기타,,서울특별시 노원구 상계동 산3-1,37.691731,127.0660338,6691885.3,,,,2023-08-09,3100000
11545-00024,남문,어린이공원,,서울특별시 금천구 독산동 160-6,37.472321,126.900396,883.6,1976-09-04,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00025,구룡,어린이공원,,서울특별시 금천구 독산동 964,37.477891,126.9027669,934.9,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00026,반수,어린이공원,서울특별시 금천구 독산로93길 18,서울특별시 금천구 독산동 980-44,37.4740151,126.902233,990.6,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00027,한사랑,어린이공원,,서울특별시 금천구 독산동 925-2,37.467716,126.904573,585.9,1973-01-23,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00028,쌈지,어린이공원,,서울특별시 금천구 독산동 189-1,37.47090493,126.9039831,982.8,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00029,소망,어린이공원,서울특별시 금천구 독산로75길 12-7,서울특별시 금천구 독산동 196-8,37.46936829,126.9016706,998.0,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00030,남서울,어린이공원,,서울특별시 금천구 시흥동 986-2,37.448336,126.902123,1155.7,1971-11-22,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00031,새재미,어린이공원,서울특별시 금천구 독산로39길 16,서울특별시 금천구 시흥동 855,37.45884579,126.904239,1185.2,1977-03-16,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00032,해태,어린이공원,,서울특별시 금천구 시흥동 871-24,37.457773,126.901866,962.6,2004-11-10,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00033,부장천,어린이공원,서울특별시 금천구 금하로 668,서울특별시 금천구 시흥동 893,37.45266794,126.9044062,944.0,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00034,풍림,어린이공원,,서울특별시 금천구 시흥동 1026-3,37.44783408,126.9017968663,2195.0,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00035,중앙,어린이공원,,서울특별시 금천구 시흥동 1027-2,37.4464112594,126.901602739,1515.0,1971-11-22,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00036,꾸러기,어린이공원,,서울특별시 금천구 시흥동 943-16,37.44316993,126.905877,359.4,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00037,비둘기,어린이공원,,서울특별시 금천구 시흥동 947-4,37.441597,126.906264,985.2,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00038,까치,어린이공원,,서울특별시 금천구 시흥동 959-2,37.439645,126.904994,925.3,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00039,진달래,어린이공원,,서울특별시 금천구 시흥동 970-3,37.434878,126.904883,992.2,1987-08-27,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11545-00040,단군,어린이공원,,서울특별시 금천구 시흥동 169-21,37.45569721,126.9086585,250.0,1977-12-31,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11350-00002,불암산<시공원>,기타,서울특별시 노원구 한글비석로12길 51-49,서울특별시 노원구 중계동 산101-1,37.65550096,127.0810225,5332422.0,,,,2023-08-09,3100000
11470-00065,신기,어린이공원,,서울특별시 양천구 신정3동 1260,37.514092,126.854244,1534.0,2000-04-28,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00066,계남,근린공원,,"서울특별시 양천구 신정3동 521, 621일대",37.513745,126.844816,440173.0,2000-04-28,서울특별시 양천구청 공원녹지과,02-2620-3576,2023-08-20,3140000
11470-00067,푸른,어린이공원,,서울특별시 양천구 신정3동 1283-1,37.511603,126.837445,2574.9,2002-06-25,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00068,신이,어린이공원,,서울특별시 양천구 신정3동 1284-1,37.512521,126.837529,1510.3,2002-06-25,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00069,넘은들,근린공원,,서울특별시 양천구 신정3동 1286,37.512951,126.840441,16159.6,2002-06-25,서울특별시 양천구청 공원녹지과,02-2620-4569,2023-08-20,3140000
11470-00070,하늘마루,어린이공원,,서울특별시 양천구 신정3동 1316-2,37.512571,126.831703,1500.0,2005-12-29,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00071,연의,근린공원,,서울특별시 양천구 신정3동 1320-9외 6필지,37.514067,126.830401,37520.0,2005-12-29,서울특별시 양천구청 공원녹지과,02-2620-4569,2023-08-20,3140000
11470-00072,숲속,어린이공원,,서울특별시 양천구 신정3동 1322-10,37.514551,126.830941,1500.0,2005-12-29,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00073,넓은들,어린이공원,,서울특별시 양천구 신정3동 767,37.511317,126.839385,3288.0,2005-10-25,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00074,신정3동소공원,소공원,,서울특별시 양천구 신정3동 831,37.50612432,126.8339302,3353.0,2012-12-21,서울특별시 양천구청 공원녹지과,02-2620-4569,2023-08-20,3140000
11470-00075,동개울,어린이공원,,서울특별시 양천구 신정4동 876-1,37.527916,126.856519,991.2,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00076,오구,어린이공원,,서울특별시 양천구 신정4동 888-1,37.527272,126.861874,738.4,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00077,홍익,어린이공원,,서울특별시 양천구 신정4동 896-22,37.528547,126.862274,990.8,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00078,앞산,어린이공원,,서울특별시 양천구 신정4동 910-9,37.526441,126.858307,1050.5,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00079,진주,어린이공원,,서울특별시 양천구 신정4동 920-3,37.526494,126.855036,940.5,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00080,음골,어린이공원,,서울특별시 양천구 신정4동 936-13,37.527336,126.851231,995.4,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00081,안산,어린이공원,,서울특별시 양천구 신정4동 949-4,37.524593,126.856172,992.1,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00082,새뚝,어린이공원,,서울특별시 양천구 신정4동 955-1,37.524029,126.857728,961.3,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00083,은행정,어린이공원,,서울특별시 양천구 신정4동 975-30,37.522027,126.855022,1062.2,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00084,아랫말,어린이공원,,서울특별시 양천구 신정4동 990-1,37.525063,126.861828,947.7,1982-04-03,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00085,양천,근린공원,,서울특별시 양천구 신정6동 320,37.518124,126.867861,33797.9,1983-11-01,서울특별시 양천구청 공원녹지과,02-2620-3574,2023-08-20,3140000
11470-00086,꿈동산,어린이공원,,서울특별시 양천구 신정6동 314-1,37.521912,126.867457,3730.1,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00087,다람쥐,어린이공원,,서울특별시 양천구 신정6동 327-1,37.513482,126.866021,2265.5,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00088,까치,어린이공원,,서울특별시 양천구 신정6동 328-1,37.514958,126.868243,2149.8,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00089,꿈나래,어린이공원,,서울특별시 양천구 신정6동 329-2,37.516283,126.869774,2433.9,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00090,기린,어린이공원,,서울특별시 양천구 신정6동 330-1,37.516283,126.869774,2029.7,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00091,사슴,어린이공원,,서울특별시 양천구 신정6동 332-1,37.515672,126.873427,2511.3,1987-11-01,서울특별시 양천구청 공원녹지과,02-2620-3581,2023-08-20,3140000
11470-00092,갈산,근린공원,,서울특별시 양천구 신정7동 162-56,37.508129,126.869032,139576.0,1971-08-06,서울특별시 양천구청 공원녹지과,02-2620-3574,2023-08-20,3140000
11500-00139,햇빛,어린이공원,,서울특별시 강서구 내발산동 384-2,37.555822,126.826886,2066.0,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00140,마곡지구4호,근린공원,,서울특별시 강서구 마곡동 811-5,37.568317,126.826463,35884.0,,서울특별시 강서구청,02-2600-4186,2024-02-21,3150000
11500-00141,푸른수명산,소공원,,서울특별시 강서구 화곡동 1091-15,37.544175,126.830269,822.9,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00142,마곡,소공원,,서울특별시 강서구 마곡동 737-16,37.567478,126.822146,1085.2,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00143,염창,소공원,,서울특별시 강서구염창동 309-1,37.549839,126.870745,1229.2,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00144,염창2,소공원,,서울특별시 강서구염창동 306-1,37.551722,126.873857,272.5,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00145,탑산(가양동),문화공원,,서울특별시 강서구가양동 1499,37.566194,126.846336,3783.8,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00146,새개,문화공원,,서울특별시 강서구마곡동 800-7,37.558287,126.83003,3836.6,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00147,놋다리,문화공원,,서울특별시 강서구마곡동 790-6,37.566207,126.84614,2574.7,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00148,똘고랑,문화공원,,서울특별시 강서구 마곡동 756-4,37.571433,126.826326,3089.9,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00149,선두암,문화공원,,서울특별시 강서구 마곡동 778-4,37.567379,126.83817,2581.3,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00150,한다리,문화공원,,서울특별시 강서구 마곡동 727-1038,37.56106,126.830369,8298.0,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11500-00151,가로공원1호,가로공원,,서울특별시 강서구 마곡동 797-5,37.559061,126.837242,2618.5,,서울특별시 강서구청,02-2600-4267,2024-02-21,3150000
11290-00004,청량,근린공원,서울특별시 성북구 화랑로32길 146-37,서울특별시 성북구 석관동 409,37.602970635,127.053995363,329290.0,1940-03-12,서울특별시 성북구청,02-2241-3668,2023-12-27,3070000
11380-00053,덕수천,근린공원,,서울특별시 은평구진관동 14-3,37.609251,126.90656,5569.1,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00054,마고정,근린공원,,서울특별시 은평구진관동 101-2,37.611787,126.909981,4551.6,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00055,우물골,근린공원,,"서울특별시 은평구진관동 85-1,2,3",37.6351344788,126.9253781615,7203.1,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00056,신도,근린공원,,서울특별시 은평구진관동 206-21,37.594288,126.919595,12020.0,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00057,마실길,근린공원,,서울특별시 은평구진관동 125-22,37.6411847166,126.942867269,45170.5,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00058,역촌동소공원,소공원,,"서울특별시 은평구 역촌동85-34,36",37.611442,126.910162,318.0,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00059,거북이소공원,소공원,,서울특별시 은평구 구산동 309-38,37.614886,126.907774,250.0,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00060,요  산소공원,소공원,,서울특별시 은평구 불광동 13-33외 3,37.591827,126.918252,805.0,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00061,응암9구역소공원,소공원,,서울특별시 은평구 응암동 761-7,37.609041,126.929362,880.8,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00062,불광3구역소공원,소공원,,서울특별시 은평구 불광동641-1일대,37.648497,126.929826,7274.1,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00063,불광6구역소공원,소공원,,서울특별시 은평구 불광동 638-3 일대,37.648497,126.929826,1919.0,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00064,불광7구역소공원,소공원,,서울특별시 은평구 불광동 643-3,37.646145,126.927556,3120.0,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00065,응암3주택 재개발구역내소공원,소공원,,서울특별시 은평구 응암동 762-4,37.633198,126.919096,1641.6,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00066,폭포동소공원,소공원,,서울특별시 은평구 진관동 158-14일원,37.637075,126.916493,1087.8,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00067,잿말소공원,소공원,,서울특별시 은평구 진관동 195-16,37.634196,126.925428,245.1,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00068,한옥마을소공원,소공원,,서울특별시 은평구 진관동 211-34,37.632016,126.93076,58.7,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00069,신사동(새절)소공원,소공원,,서울특별시 은평구 신사동372-1,37.635399,126.934794,782.6,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00070,녹번1-2지구 주택재개발정비구역내소공원,소공원,,서울특별시 은평구 녹번동 283-7,37.632016,126.93076,5804.2,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00071,금암문화공원 (은평뉴타운제1호문화공원),주제공원,,서울특별시 은평구 진관동 53-5,37.624806,126.92741,6857.1,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00072,제각말문화공원 (은평뉴타운제2호 문화공원),주제공원,,서울특별시 은평구 진관동 135-26,37.626369,126.925398,55721.8,,서울시특별시 은평구청 공원녹지과,02-351-8008,2021-05-01,3110000
11380-00073,불광위령탑마을마당,기타공원,,서울특별시 은평구 불광1 247-4,37.61362,126.929777,940.0,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000
11380-00074,구산마을마당,기타공원,,서울특별시 은평구 구산 산173-23,37.595561,126.904347,387.0,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000
11380-00075,신사마을마당,기타공원,,서울특별시 은평구 불광1 247,37.594385,126.908643,203.0,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000
11380-00076,대조마을마당,기타공원,,서울특별시 은평구 대조 48-42,37.641342,126.942228,183.5,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000
11380-00077,자투리(녹번)마을마당,기타공원,,서울특별시 은평구 녹번 103-23,37.599552,126.915551,165.0,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000
11380-00078,자투리(신사)마을마당,기타공원,,서울특별시 은평구 신사2 300-153,37.618267,126.932812,236.0,,서울특별시 은평구시설관리공단,02-350-5248,2021-05-01,3110000
11680-00095,일원장미공원,어린이공원,,서울특별시 강남구 일원동 732-4,37.480681,127.0808231,1500.0,,,02-3423-6262,2024-01-19,3220000
11680-00096,일원개나리공원,어린이공원,,서울특별시 강남구 일원동 730-3,37.48300519,127.0763956,4453.6,,,02-3423-6262,2024-01-19,3220000
11680-00097,일원느티나무공원,어린이공원,,서울특별시 강남구 일원동 730-2,37.483047,127.0774123,1825.7,,,02-3423-6262,2024-01-19,3220000
11680-00098,일원소나무공원,어린이공원,,서울특별시 강남구 일원동 718-1,37.484061,127.0817812,1500.6,,,02-3423-6262,2024-01-19,3220000
11680-00099,일원상록수공원,어린이공원,,서울특별시 강남구 일원동 734-1,37.482102,127.0822265,1500.4,,,02-3423-6262,2024-01-19,3220000
11680-00100,일원비둘기공원,어린이공원,,서울특별시 강남구 일원동 735-1,37.48327765,127.0860025,1501.0,,,02-3423-6262,2024-01-19,3220000
11680-00101,일원진달래공원,어린이공원,,서울특별시 강남구 일원동 716-1,37.484753,127.0847344,1500.1,,,02-3423-6262,2024-01-19,3220000
11680-00102,일원새싹공원,어린이공원,,서울특별시 강남구 수서동 746-1,37.484772,127.0890958,1500.2,,,02-3423-6262,2024-01-19,3220000
11680-00103,수서까치공원,어린이공원,,서울특별시 강남구 수서동 736-1,37.48713637,127.0979512,1500.2,,,02-3423-6262,2024-01-19,3220000
11680-00104,수서은행나무공원,어린이공원,,서울특별시 강남구 수서동 707-1,37.49213676,127.0997523,1500.4,,,02-3423-6262,2024-01-19,3220000
11680-00105,수서목련공원,어린이공원,,서울특별시 강남구 수서동 712-1,37.49062982,127.1036989,1418.8,,,02-3423-6262,2024-01-19,3220000
11680-00106,수서개나리공원,어린이공원,,서울특별시 강남구 수서동 723-1,37.487518,127.1054203,1500.1,,,02-3423-6262,2024-01-19,3220000
11680-00107,아래반고개공원,어린이공원,,서울특별시 강남구 세곡동 129-13,37.463874,127.1071102,863.0,,,02-3423-6262,2024-01-19,3220000
11680-00108,윗반고개공원,어린이공원,,서울특별시 강남구 세곡동 99-6,37.46569942,127.109147,1250.0,,,02-3423-6262,2024-01-19,3220000
11680-00109,은곡마을공원,어린이공원,,서울특별시 강남구 세곡동 369-3,37.46801863,127.1004611,2686.0,,,02-3423-6262,2024-01-19,3220000
11680-00110,쟁골공원,어린이공원,,서울특별시 강남구 자곡동 233-2,37.48190388,127.1020753,468.0,,,02-3423-6262,2024-01-19,3220000
11680-00111,못골공원,어린이공원,,서울특별시 강남구 자곡동 447-23,37.473573,127.100181,749.0,,,02-3423-6262,2024-01-19,3220000
11680-00112,윗방죽마을공원,어린이공원,,서울특별시 강남구 율현동 308-29,37.470276,127.104681,935.0,,,02-3423-6262,2024-01-19,3220000
11680-00113,아래방죽마을공원,어린이공원,,서울특별시 강남구 율현동 194-1,37.473276,127.1082321,386.0,,,02-3423-6262,2024-01-19,3220000
11680-00114,충현공원,어린이공원,,서울특별시 강남구 역삼동 666-2,37.50467201,127.0365347,2721.8,,,02-3423-6262,2024-01-19,3220000
11680-00115,세곡천공원,어린이공원,,서울특별시 강남구 세곡동 522-1,37.46321345,127.1012799,2645.1,,,02-3423-6262,2024-01-19,3220000
11680-00116,대왕공원,어린이공원,,서울특별시 강남구 세곡동 526-2,37.4624778,127.1049341,2633.1,,,02-3423-6262,2024-01-19,3220000
11680-00117,세천근린공원,근린공원,,서울특별시 강남구 세곡동 603,37.46652497,127.0949058,18856.7,,,02-3423-6245,2024-01-19,3220000
11680-00118,세명근린공원,근린공원,,서울특별시 강남구 자곡동 625,37.4692274,127.0902554,5236.8,,,02-3423-6245,2024-01-19,3220000
11290-00019,새소리,어린이공원,,서울특별시 성북구 돈암동 626-2,37.600751,127.0254039206,1371.0,1976-12-30,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00020,종암,어린이공원,,서울특별시 성북구 종암동 104-6,37.60012565,127.0372515,1514.0,1991-02-11,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00021,솔향기,어린이공원,,서울특별시 성북구 길음동 1190,37.608108,127.0213063991,4031.0,2003-12-05,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00022,해맑은,어린이공원,,서울특별시 성북구 길음동 591-17,37.6085186021,127.020925,2089.0,2003-12-05,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00023,한울,어린이공원,,서울특별시 성북구 정릉동 169-6,37.605709,127.0137089594,2675.0,2003-12-05,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00024,솔숲,어린이공원,,서울특별시 성북구 정릉동 170-10,37.6048086334,127.014971,2922.0,2005-07-29,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00025,동망봉,어린이공원,서울특별시 성북구 보문사길 30,서울특별시 성북구 보문동3가 229-1,37.5838591,127.017073,6730.0,2007-10-04,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00026,맑은숲,어린이공원,,서울특별시 성북구 장위동 317-1,37.62144056,127.0463288,1601.0,2005-07-29,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00027,화랑,어린이공원,,서울특별시 성북구 석관동 407-6,37.60715757,127.0547542,2213.0,2004-11-17,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00029,고암,어린이공원,,서울특별시 성북구 종암동 133-5,37.59998725,127.0318095,1449.0,2005-06-02,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00030,옛시장,어린이공원,,서울특별시 성북구 종암동 135-4,37.60232547,127.0339269,958.0,2005-09-08,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00031,늘푸른,어린이공원,,서울특별시 성북구 길음동 1284-14,37.607270609,127.016042121,1580.0,2005-05-12,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00032,아름,어린이공원,,서울특별시 성북구 길음동 1284,37.607275104,127.016118567,2167.0,2005-05-12,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00033,벌집,어린이공원,,서울특별시 성북구 종암동 134-3,37.599625,127.0367262,1788.0,2003-03-08,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00034,일신,어린이공원,,서울특별시 성북구 종암동 134-8,37.59999069,127.0395876,950.0,2003-03-08,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00035,길음골,소공원,서울특별시 성북구 길음로13길22,서울특별시 성북구 길음동 1285,37.609062949,127.020145152,1244.0,2005-05-12,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00036,길섶,소공원,,서울특별시 성북구 길음동 1285-10,37.609117029,127.020023418,383.0,2005-05-12,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00037,잔월,소공원,,서울특별시 성북구 하월곡동 230-1,37.6040624,127.031506,481.0,2007-06-21,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00038,행복한,소공원,,서울특별시 성북구 길음동 1284-13,37.608225129,127.019553178,1173.0,2005-05-12,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00039,두레,소공원,서울특별시 성북구 서경로6길 41,서울특별시 성북구 길음동 1284-8,37.6065585058,127.0176650787,287.0,2005-05-12,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00040,돌마루,소공원,,서울특별시 성북구 삼선동3가 116-1,37.5880187,127.012142,877.0,2006-05-18,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00041,되너미,소공원,,서울특별시 성북구 돈암동 644-1,37.59849175,127.0137028,1069.0,2007-06-07,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00042,꿈빛,소공원,,서울특별시 성북구 정릉동 1039,37.60224083,127.0116561,719.0,2007-05-17,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11680-00094,한마음공원,어린이공원,,서울특별시 강남구 개포동 12-3,37.49642631,127.0755359,2488.1,,,02-3423-6262,2024-01-19,3220000
11290-00008,삼선,어린이공원,서울특별시 성북구 삼선교로4길 147,서울특별시 성북구 삼선동1가 303,37.5817991362,127.0091947262,10957.0,1978-05-30,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00009,범바위,어린이공원,,서울특별시 성북구 안암동2가 140-3,37.58549036,127.0214092,1514.0,1940-03-12,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00010,꿈나라,어린이공원,,서울특별시 성북구 보문동7가 108-2,37.58029718,127.023018,1564.0,1940-03-12,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00012,동산,어린이공원,,서울특별시 성북구 하월곡동 96-78,37.6045938575,127.034528,417.0,1983-12-23,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00013,밤골,어린이공원,서울특별시 성북구 화랑로13가길 17-8,서울특별시 성북구 하월곡동 산2-140,37.607541,127.039921,600.0,1984-02-21,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00014,햇살,어린이공원,,서울특별시 성북구 상월곡동 97-37,37.60591304,127.0485162,300.0,1983-12-23,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00015,향기,어린이공원,,서울특별시 성북구 상월곡동 산1-1,37.60920187,127.045461,1000.0,1983-12-23,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00016,동방,어린이공원,,서울특별시 성북구 장위동 219-223,37.6166429742,127.0435038428,982.0,1967-07-30,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00017,샛별,어린이공원,,서울특별시 성북구 석관동 168-86,37.614016,127.0642987,1638.0,1983-12-23,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11290-00018,돌뫼,어린이공원,,서울특별시 성북구 석관동 산1-77,37.60510034,127.0528072,350.0,1983-12-23,서울특별시 성북구청,02-2241-3689,2023-12-27,3070000
11305-00009,북한산도시자연공원,기타,,서울특별시 강북구 미아동 산108-19,37.6210716,127.0083592,84448.4,2020-06-29,서울특별시 강북구청,02-901-6927,2023-08-21,3080000
11305-00010,청암,어린이공원,,서울특별시 강북구 삼양동 776-17,37.6241079,127.0171437,661.0,1972-04-25,서울특별시 강북구청,02-901-6952,2023-08-21,3080000
11305-00011,응달마을,어린이공원,,서울특별시 강북구 송천동 707-73,37.618455,127.024343,866.0,1977-02-04,서울특별시 강북구청,02-901-6952,2023-08-21,3080000
11305-00012,하늘,어린이공원,,서울특별시 강북구 삼양동 791-1776,37.6247032,127.012899,3367.0,2000-02-16,서울특별시 강북구청,02-901-6952,2023-08-21,3080000
11305-00013,송월,어린이공원,,서울특별시 강북구 송중동 92-7,37.6163653,127.0321067,807.0,2002-05-27,서울특별시 강북구청,02-901-6952,2023-08-21,3080000
11305-00014,소망,소공원,,서울특별시 강북구 삼양동 791-1467,37.6258055,127.0154221,320.0,2001-05-15,서울특별시 강북구청,02-901-6952,2023-08-21,3080000
11305-00015,미래,소공원,,서울특별시 강북구 삼양동 791-1712,37.6246182,127.0145881,564.0,2001-05-25,서울특별시 강북구청,02-901-6952,2023-08-21,3080000
11305-00016,늘푸른,소공원,,서울특별시 강북구 삼양동 797-9,37.6254089,127.0197435,646.0,2003-06-25,서울특별시 강북구청,02-901-6952,2023-08-21,3080000
11305-00017,폭포,소공원,,서울특별시 강북구 삼각산동 813-6,37.612576,127.021656,1238.0,2005-11-10,서울특별시 강북구청,02-901-6952,2023-08-21,3080000
11305-00018,꼭지,소공원,,서울특별시 강북구 삼각산동 811-7,37.6188024,127.017338,746.0,2006-10-09,서울특별시 강북구청,02-901-6952,2023-08-21,3080000
11305-00019,테두리,어린이공원,,서울특별시 강북구 삼각산동 811-8,37.6186251,127.0176915,1913.0,2006-10-09,서울특별시 강북구청,02-901-6952,2023-08-21,3080000
11305-00020,고갯마루,어린이공원,,서울특별시 강북구 삼각산동 811-13,37.6164203,127.0169389,2185.8,2006-10-09,서울특별시 강북구청,02-901-6952,2023-08-21,3080000
