manageNo,parkNm,parkSe,rdnmadr,lnmadr,latitude,longitude,parkAr,appnNtfcDate,institutionNm,phoneNumber,referenceDate,insttCode
11710-00016,방이,근린공원,서울특별시 송파구 백제고분로 489,서울특별시 송파구 방이동 52,37.51435318,127.1136443,6930.1,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00017,백토,근린공원,서울특별시 송파구 양재대로72길 478,서울특별시 송파구 오금동 6,37.50811694,127.132113,10024.1,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00019,뽕나무,근린공원,,서울특별시 송파구 잠실동 19-3,37.5139763496,127.081639663,11704.9,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00020,삼전,근린공원,서울특별시 송파구 백제고분로32길 630,서울특별시 송파구 삼전동 62-1,37.50179286,127.0933328,6607.6,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00022,소리,근린공원,서울특별시 송파구 법원로5길 3,서울특별시 송파구 문정동 357,37.48259805,127.1208964,36638.3,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00024,송파,근린공원,서울특별시 송파구 송파대로42길 29,서울특별시 송파구 송파동 113,37.50633354,127.110451,6621.2,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00025,송파나루,근린공원,"서울특별시 송파구 잠실로 180, 삼학사로 136","서울특별시 송파구 신천동 32, 잠실동 47",37.51210416,127.1077049,285757.6,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11545-00023,동산,어린이공원,서울특별시 금천구 독산로54길 247,서울특별시 금천구 독산동 993-29,37.47292006,126.9059645,1017.2,1971-11-12,서울특별시 금천구청,02-2627-1654,2023-08-23,3170000
11710-00056,도담,어린이공원,,서울특별시 송파구 마천동 583,37.4996209733,127.159557,4138.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11350-00127,안  산,기타,서울특별시 노원구 한글비석로 24길,서울특별시 노원구 상계5동 169-53,37.6623018,127.0697753,258.0,,,,2023-08-09,3100000
11350-00126,오장골,기타,서울특별시 노원구 한글비석로,서울특별시 노원구 상계5동 445-2,37.6630485,127.0668825,99.0,,,,2023-08-09,3100000
11350-00125,상계 10,기타,서울특별시 노원구 노원로 38길,서울특별시 노원구 상계동10 675,37.6609624,127.0600221,825.2,,,,2023-08-09,3100000
11710-00124,오금지구 수변공원,수변공원,,서울특별시 송파구 오금동 97-21 일원,37.507619,127.136866,4302.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00126,돌무데기놀이터,기타,,서울특별시 송파구 마천동 277-52,37.492024,127.1572038975,455.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00127,풍납타이어,기타,,서울특별시 송파구 풍납동 483-4,37.535938,127.121564,291.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00128,가락1(시영아파트),근린공원,,서울특별시 송파구 가락동 479,37.49761457,127.1025318,19159.2,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00129,문이,근린공원,,서울특별시 송파구 문정동 481,37.484857,127.113722,20856.2,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00131,위례 근린공원1호,근린공원,,서울특별시 송파구 거여동 491임 일원,37.483179,127.144136,200327.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00132,위례 근린공원3호,근린공원,,서울특별시 송파구 거여동 산26-7임 일원,37.490844,127.139533,42448.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00134,잠실주공5단지 근린공원,근린공원,,서울특별시 송파구 잠실동 27 일원,37.512706,127.095491,10741.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00135,향유(거마재정비),근린공원,,서울특별시 송파구 거여동 200-4 일대,37.494489,127.147614,10569.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00136,가락1(시영아파트),어린이공원,,서울특별시 송파구 가락동 479,37.49761457,127.1025318,1617.7,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00137,문정동136 어린이공원,어린이공원,,서울특별시 송파구 문정동 142 일대,37.487357,127.134752,4685.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00140,잠실진주,어린이공원,,서울특별시 송파구 신천동 20-4 일원,37.518792,127.108557,4470.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00141,장미아파트1호,어린이공원,,서울특별시 송파구 신천동 7 일원,37.518333,127.099146,5470.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00142,장미아파트2호,어린이공원,,서울특별시 송파구 신천동 11 일원,37.520392,127.103546,3288.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00144,거여2(거마재정비),소공원,,서울특별시 송파구 마천동 327-7 일대,37.491039,127.156702,1501.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00145,거여3(거마재정비),소공원,,서울특별시 송파구 마천동 363-2 일대,37.494838,127.155509,591.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00146,거여4(거마재정비),소공원,,서울특별시 송파구 마천동 364-8 일대,37.494411,127.156222,5420.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00147,거여5(거마재정비),소공원,,서울특별시 송파구 마천동 276 일대,37.491148,127.157751,7682.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00148,거여6(거마재정비),소공원,,서울특별시 송파구 마천동 586 일대,37.497464,127.154635,612.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00149,문정동136 소공원,소공원,,서울특별시 송파구 문정동 123 일대,37.487951,127.133264,407.5,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00150,잠실주공5단지 소공원,소공원,,서울특별시 송파구 잠실동 27 일원,37.513067,127.098124,8228.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00151,송례(위례 근린공원8호),근린공원,,서울특별시 송파구 장지동 393임 일원,37.477529,127.141005,10024.6,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00152,신천어린이교통,근린공원,서울특별시 송파구 올림픽로35다길 33,서울특별시 송파구 신천동 7-15,37.516022,127.101762,12755.5,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00154,방이동고분,역사공원,서울특별시 송파구 오금로 219,서울특별시 송파구 방이동 125,37.50757311,127.1181634,30293.7,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00155,백제초기적석총,역사공원,서울특별시 송파구 가락로7길 21,서울특별시 송파구 석촌동 248,37.50214179,127.102815,45137.8,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00156,성내천,기타,,서울특별시 송파구 마천동 ~ 한강합류점,37.500542,127.139533,61050.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
