갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2008,신규,24.02~26.02,2023,사직동,"10,000",광화문스페이스본(101동~105동),12,275,1,94.51, , ,9,11110,2
 ,2008,신규,24.02~26.01,2023,사직동,"70,000",광화문스페이스본(101동~105동),12,80,4,94.51, , ,9,11110,7
사용,2008,갱신,24.01~26.01,2023,사직동,"65,000",광화문스페이스본(101동~105동),12,95,9,94.51,"65,000", ,9,11110,6
 ,2008,갱신,24.02~25.02,2023,사직동,"90,000",광화문스페이스본(101동~105동),12,170,23,159.01,"73,000",115,9,11110,11
 ,1981,신규,24.02~26.02,2023,당주동,"60,000",롯데미도파광화문빌딩,12,0,6,149.95, , ,145,11110,10
 ,1981,신규,24.02~26.02,2023,당주동,"82,000",롯데미도파광화문빌딩,12,0,19,149.92, , ,145,11110,8
 ,2004,신규,24.02~26.02,2023,내수동,"120,000",경희궁의아침3단지,12,0,9,123.13, , ,72,11110,13
 ,2004,갱신,24.02~26.02,2023,내수동,"3,000",경희궁의아침4단지,12,450,12,150.77,"3,000",400,73,11110,7
 ,2004,신규,24.03~26.03,2023,내수동,"10,000",경희궁의아침4단지,12,420,16,124.17, , ,73,11110,2
 ,2005,신규,24.02~26.02,2023,수송동,"25,000",로얄팰리스스위트,12,0,7,29.31, , ,85,11110,8
 ,2005,신규,24.02~26.02,2023,수송동,"25,000",로얄팰리스스위트,12,0,7,29.31, , ,85,11110,8
 ,2008,신규,23.12~27.11,2023,견지동,0,대성스카이렉스,12,550,1,137.55, , ,110,11110,14
 ,2003,갱신,23.12~25.12,2023,익선동,"32,000",현대뜨레비앙,12,0,1,46.64,"1,000",95,55,11110,5
 ,2003,신규,23.12~25.12,2023,익선동,"1,000",현대뜨레비앙,12,100,12,46.64, , ,55,11110,3
 ,2003,신규,24.01~26.01,2023,익선동,"30,000",현대뜨레비앙,12,0,18,46.64, , ,55,11110,2
 ,2003,신규,24.01~25.01,2023,익선동,"1,000",현대뜨레비앙,12,100,18,48.54, , ,55,11110,2
 ,2013,신규,24.01~25.03,2023,경운동,"1,000",삼성빌딩,12,65,5,17.69, , ,22,11110,5
 ,2006,신규,24.01~26.01,2023,인의동,"5,000",효성쥬얼리시티,12,240,15,98.39, , ,48-2,11110,13
사용,2021,갱신,23.12~25.12,2023,효제동,"25,000",이지마루종로,12,23,4,26.64,"30,000", ,126-2,11110,6
 ,2017,갱신,24.01~26.01,2023,효제동,"2,000",포레스트힐시티,12,77,5,16.672,"2,000",73,65-2,11110,8
 ,2017,신규,24.02~26.02,2023,효제동,"1,000",포레스트힐시티,12,74,6,16.672, , ,65-2,11110,4
 ,2021,갱신,24.02~26.02,2023,효제동,"28,000",이지마루종로,12,0,7,25.55,"34,000", ,126-2,11110,16
 ,2017,신규,24.01~26.01,2023,효제동,"3,000",포레스트힐시티,12,72,9,16.672, , ,65-2,11110,14
 ,2017,신규,24.01~26.01,2023,효제동,"13,000",포레스트힐시티,12,30,11,18.7352, , ,65-2,11110,9
사용,2021,갱신,24.01~26.01,2023,효제동,"31,000",이지마루종로,12,0,11,26.65,"31,000", ,126-2,11110,15
 ,2017,신규,24.02~26.02,2023,효제동,"16,000",포레스트힐시티,12,30,19,18.505, , ,65-2,11110,13
 ,2021,신규,24.01~26.01,2023,효제동,"25,000",이지마루종로,12,12,19,24.44, , ,126-2,11110,15
 ,2021, , ,2023,효제동,"25,000",이지마루종로,12,12,19,24.44, , ,126-2,11110,15
 ,2021,신규,24.01~26.01,2023,효제동,"25,000",이지마루종로,12,0,19,24.44, , ,126-2,11110,15
 ,2017,신규,24.02~26.02,2023,효제동,"1,000",포레스트힐시티,12,69,20,16.672, , ,65-2,11110,3
 ,2017,신규,24.02~25.02,2023,효제동,"1,000",포레스트힐시티,12,78,21,16.672, , ,65-2,11110,11
사용,2017,갱신,24.02~26.02,2023,효제동,"2,000",포레스트힐시티,12,76,22,16.672,"2,000",72,65-2,11110,11
 ,2017,신규,24.01~25.01,2023,효제동,"2,000",포레스트힐시티,12,85,23,18.7352, , ,65-2,11110,11
 ,2017,신규,24.02~26.02,2023,효제동,"15,000",포레스트힐시티,12,40,26,18.274, , ,65-2,11110,10
 ,2017, , ,2023,효제동,"1,000",포레스트힐시티,12,73,26,15.879, , ,65-2,11110,8
 ,2017, , ,2023,효제동,"1,000",포레스트힐시티,12,73,26,15.879, , ,65-2,11110,8
 ,2017,신규,24.01~25.01,2023,효제동,"1,000",포레스트힐시티,12,73,26,15.879, , ,65-2,11110,8
 ,2017,신규,24.02~26.02,2023,효제동,"1,000",포레스트힐시티,12,86,27,20.3861, , ,65-2,11110,4
 ,2017,갱신,24.02~25.02,2023,효제동,"5,000",포레스트힐시티,12,85,28,22.0584,"5,000",75,65-2,11110,9
 ,2017,신규,24.01~26.01,2023,효제동,"3,000",포레스트힐시티,12,65,29,14.4835, , ,65-2,11110,14
 ,2017,신규,24.02~26.02,2023,효제동,"2,000",포레스트힐시티,12,75,30,15.879, , ,65-2,11110,4
