갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2005, , ,2022,옥인동,"60,000",세종아파트,10,50,1,118.49, , ,56,11110,2
 ,2005,갱신,22.10~24.10,2022,옥인동,"60,000",세종아파트,10,50,1,118.49,"52,000", ,56,11110,2
 ,2008, , ,2022,사직동,"60,000",광화문스페이스본(101동~105동),10,220,3,158.99, , ,9,11110,6
 ,2008,신규,22.11~24.11,2022,사직동,"40,000",광화문스페이스본(101동~105동),10,180,27,94.51, , ,9,11110,10
 ,2008,신규,22.11~24.11,2022,사직동,"40,000",광화문스페이스본(101동~105동),10,180,27,94.51, , ,9,11110,10
사용,2004,갱신,22.10~24.10,2022,내수동,"10,000",경희궁의아침3단지,10,315,1,124.17,"10,000",300,72,11110,15
 ,2004,신규,23.01~25.01,2022,내수동,"60,000",경희궁의아침2단지,10,180,17,124.17, , ,71,11110,14
 ,2004,신규,23.01~25.01,2022,내수동,"60,000",경희궁의아침2단지,10,180,17,124.17, , ,71,11110,14
 ,2004, , ,2022,내수동,"130,000",경희궁의아침4단지,10,130,25,150.77, , ,73,11110,3
 ,2004,신규,23.01~25.01,2022,내수동,"130,000",경희궁의아침4단지,10,130,25,150.77, , ,73,11110,3
 ,2003,신규,23.01~25.01,2022,내수동,"70,000",경희궁파크팰리스,10,230,29,146.33, , ,95,11110,16
 ,2004,신규,23.01~25.01,2022,내수동,"130,000",경희궁의아침4단지,10,0,29,150.48, , ,73,11110,12
 ,2005,신규,22.11~24.11,2022,수송동,"34,000",로얄팰리스스위트,10,0,7,39.67, , ,85,11110,17
 ,2003,신규,22.10~24.10,2022,익선동,"1,000",현대뜨레비앙,10,90,7,28.1, , ,55,11110,9
 ,2003,신규,22.10~24.10,2022,익선동,"1,000",현대뜨레비앙,10,90,18,36.08, , ,55,11110,8
 ,2003,신규,22.12~24.12,2022,익선동,"8,000",현대뜨레비앙,10,65,29,45.5, , ,55,11110,3
 ,1968,신규,22.10~24.10,2022,낙원동,"2,000",낙원,10,110,14,70.61, , ,288,11110,7
 ,1968,신규,23.01~25.01,2022,낙원동,"30,000",낙원,10,0,17,110.15, , ,288,11110,8
 ,2006,신규,22.10~24.10,2022,인의동,"76,000",효성쥬얼리시티,10,0,4,106.81, , ,48-2,11110,15
사용,2006,갱신,22.10~23.10,2022,인의동,"60,900",효성쥬얼리시티,10,0,4,84.64,"58,000", ,48-2,11110,9
 ,2006,신규,22.12~24.12,2022,인의동,"30,000",효성쥬얼리시티,10,200,6,84.64, , ,48-2,11110,15
사용,2006,갱신,22.10~24.10,2022,인의동,"47,500",효성쥬얼리시티,10,0,12,84.98,"45,500", ,48-2,11110,17
 ,2006,신규,22.12~24.12,2022,인의동,"30,000",효성쥬얼리시티,10,140,22,84.64, , ,48-2,11110,14
 ,2006,신규,22.12~24.12,2022,인의동,"10,000",효성쥬얼리시티,10,250,22,98.39, , ,48-2,11110,16
 ,2006,신규,23.01~25.01,2022,인의동,"30,000",효성쥬얼리시티,10,140,22,84.64, , ,48-2,11110,14
 ,2017,신규,22.12~24.12,2022,효제동,"1,000",포레스트힐시티,10,95,19,22.0584, , ,65-2,11110,11
 ,2022,신규,22.12~24.12,2022,충신동,"80,000",힐스테이트창경궁,10,0,8,84.96, , ,60,11110,12
 ,2022,신규,22.10~24.10,2022,충신동,"90,000",힐스테이트창경궁,10,0,14,84.95, , ,60,11110,8
 ,2022,신규,22.10~24.10,2022,충신동,"70,000",힐스테이트창경궁,10,30,20,84.95, , ,60,11110,10
 ,2011, , ,2022,충신동,"1,000",CS타워,10,62,27,22.17, , ,62-2,11110,5
 ,2011,신규,22.10~24.10,2022,충신동,"1,000",CS타워,10,59,27,22.17, , ,62-2,11110,5
 ,2022,신규,22.12~24.12,2022,충신동,"10,000",힐스테이트창경궁,10,220,30,84.97, , ,60,11110,13
 ,2022, , ,2022,충신동,"10,000",힐스테이트창경궁,10,220,30,84.97, , ,60,11110,13
 ,1995,신규,22.10~24.10,2022,명륜1가,"9,000",방산(5-102),10,25,5,26.1, , ,5-102,11110,1
 ,1995,갱신,22.10~24.10,2022,명륜1가,"11,000",방산아파트,10,0,22,57.1,"8,900", ,5-89,11110,1
 ,1999,신규,22.12~24.12,2022,명륜2가,"20,000",명륜동주상복합아남아파트,10,110,7,44.37, , ,237,11110,8
 ,1995, , ,2022,명륜2가,"71,000",아남1,10,0,15,84.8, , ,4,11110,11
 ,1996,신규,22.11~24.11,2022,명륜2가,"40,000",아남2,10,180,16,114.36, , ,236,11110,3
 ,1995,신규,23.01~25.01,2022,명륜2가,"17,000",아남1,10,157,17,84.9, , ,4,11110,4
 ,1995,갱신,22.12~24.12,2022,명륜2가,"10,000",아남1,10,195,27,84.9,"20,000",130,4,11110,10
 ,1996,신규,22.12~24.12,2022,명륜2가,"50,000",아남2,10,80,27,114.36, , ,236,11110,8
 ,1996, , ,2022,명륜2가,"12,000",아남2,10,180,29,84.9, , ,236,11110,6
 ,1995,신규,23.02~25.02,2022,명륜2가,"72,000",아남1,10,0,29,84.9, , ,4,11110,17
 ,1996,신규,23.02~25.02,2022,명륜2가,"12,000",아남2,10,180,29,84.9, , ,236,11110,6
 ,1995,갱신,23.02~25.02,2022,명륜2가,"68,500",아남1,10,0,31,84.8,"60,000", ,4,11110,20
 ,1992,갱신,22.10~24.10,2022,창신동,"13,650",창신쌍용1,10,68,1,79.87,"13,000",65,702,11110,7
 ,1992,갱신,22.10~24.10,2022,창신동,"42,000",창신쌍용1,10,0,4,79.87,"34,000", ,702,11110,9
사용,1993,갱신,22.10~24.10,2022,창신동,"10,000",창신쌍용2,10,100,5,106.62,"10,000",100,703,11110,4
사용,1993,갱신,22.10~24.10,2022,창신동,"34,650",창신쌍용2,10,0,5,79.87,"33,000", ,703,11110,1
 ,1968,신규,22.10~24.10,2022,창신동,"10,000",동대문상가,10,0,5,40.87, , ,436-64,11110,5
 ,1973,갱신,22.10~24.10,2022,창신동,"27,300",동대문맨션,10,0,6,122.71,"26,000", ,578-5,11110,9
사용,1993,갱신,22.12~24.12,2022,창신동,"32,000",창신쌍용2,10,6,7,79.87,"32,000", ,703,11110,2
 ,1999,갱신,22.10~24.10,2022,창신동,"3,000",두산,10,120,8,59.95,"3,000",116,232,11110,14
 ,1993,신규,22.11~24.11,2022,창신동,"36,000",창신쌍용2,10,0,11,64.66, , ,703,11110,8
 ,1993, , ,2022,창신동,"36,000",창신쌍용2,10,0,11,64.66, , ,703,11110,8
 ,1993,신규,22.10~24.10,2022,창신동,"35,000",창신쌍용2,10,30,12,79.87, , ,703,11110,9
 ,1992,갱신,22.10~24.10,2022,창신동,"43,000",창신쌍용1,10,0,13,79.87,"33,500", ,702,11110,7
 ,2006,갱신,22.10~24.11,2022,창신동,"60,000",브라운스톤창신,10,0,13,84.81,"47,250", ,23-76,11110,10
 ,2003,신규,22.11~24.11,2022,창신동,"10,000",창신이수,10,150,13,84.5, , ,23-816,11110,11
 ,1992, , ,2022,창신동,"31,500",창신쌍용1,10,0,14,54.7, , ,702,11110,5
 ,1966,신규,22.10~24.10,2022,창신동,"1,000",동대문,10,45,14,28.8, , ,328-17,11110,3
 ,1993,신규,22.10~24.10,2022,창신동,"40,000",창신쌍용2,10,0,14,64.66, , ,703,11110,5
 ,1993,갱신,22.10~24.10,2022,창신동,"29,000",창신쌍용2,10,50,15,64.66,"29,000", ,703,11110,9
사용,1992,갱신,22.11~24.11,2022,창신동,"30,870",창신쌍용1,10,0,15,54.7,"29,400", ,702,11110,14
 ,1999,신규,22.10~24.10,2022,창신동,"35,000",두산,10,0,16,59.95, , ,232,11110,4
사용,1992,갱신,22.10~24.10,2022,창신동,"30,450",창신쌍용1,10,0,17,54.7,"29,000", ,702,11110,6
 ,1992,신규,23.02~25.02,2022,창신동,"29,000",창신쌍용1,10,0,18,54.7, , ,702,11110,3
 ,1993,신규,22.11~24.11,2022,창신동,"16,000",창신쌍용2,10,90,21,79.87, , ,703,11110,2
 ,1992,신규,22.11~24.11,2022,창신동,"33,000",창신쌍용1,10,0,22,79.87, , ,702,11110,4
 ,1992,갱신,22.11~23.02,2022,창신동,"29,000",창신쌍용1,10,0,25,54.7,"28,000", ,702,11110,3
 ,1999, , ,2022,창신동,"46,000",두산,10,0,26,59.95, , ,232,11110,17
 ,1992,신규,22.12~24.12,2022,창신동,"15,000",창신쌍용1,10,48,28,54.7, , ,702,11110,2
 ,1999,신규,22.10~26.10,2022,창신동,"50,000",두산,10,0,31,59.95, , ,232,11110,6
 ,1993,신규,22.11~24.11,2022,창신동,"34,500",창신쌍용2,10,0,31,79.87, , ,703,11110,12
 ,2008,갱신,22.11~23.06,2022,숭인동,"45,000",종로센트레빌,10,0,3,59.92,"43,000", ,2-1,11110,12
 ,2015,신규,22.10~23.10,2022,숭인동,"3,000",영하우스,10,43,4,18.94, , ,207-32,11110,15
 ,2000,신규,22.10~24.10,2022,숭인동,"27,000",숭인모범104동,10,0,5,59.74, , ,569-2,11110,3
사용,2008,갱신,22.11~24.11,2022,숭인동,"29,000",종로센트레빌,10,76,6,84.92,"29,000",70,2-1,11110,10
 ,2014,신규,22.10~23.10,2022,숭인동,"2,000",삼전솔하임4차,10,50,7,15.09, , ,318-2,11110,16
 ,2014,갱신,22.10~24.10,2022,숭인동,"10,000",숭인한양LEEPS,10,3,8,12.78,"10,300", ,1421-2,11110,2
 ,2000,신규,22.10~24.10,2022,숭인동,"27,000",숭인모범104동,10,0,11,59.74, , ,569-2,11110,3
 ,2015,신규,22.10~23.10,2022,숭인동,"1,000",영하우스,10,58,12,20.27, , ,207-32,11110,5
 ,2015, , ,2022,숭인동,"1,000",영하우스,10,58,12,20.27, , ,207-32,11110,5
 ,2012,신규,22.12~24.12,2022,숭인동,"1,000",삼전솔하임2차,10,58,17,16.67, , ,296-19,11110,6
 ,2014,신규,22.11~23.11,2022,숭인동,500,삼전솔하임4차,10,60,18,15.09, , ,318-2,11110,10
 ,2015, , ,2022,숭인동,"4,864",영하우스,10,40,19,20.27, , ,207-32,11110,18
