갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2002,신규,22.12~24.12,2022,신교동,"60,000",신현(102동),9,0,14,84.82, , ,6-11,11110,2
 ,1999, , ,2022,통인동,"4,000",효자,9,50,2,43.31, , ,5-1,11110,3
 ,2008,신규,22.09~24.09,2022,사직동,"93,000",광화문스페이스본(101동~105동),9,20,1,94.51, , ,9,11110,5
 ,2008, , ,2022,사직동,"5,000",광화문스페이스본(101동~105동),9,260,5,94.51, , ,9,11110,11
 ,2008,신규,22.09~24.09,2022,사직동,"80,000",광화문스페이스본(101동~105동),9,0,5,108.55, , ,9,11110,14
 ,2008,갱신,22.09~24.09,2022,사직동,"99,500",광화문스페이스본(101동~105동),9,0,7,147.31,"80,000", ,9,11110,11
 ,2008,신규,22.12~24.12,2022,사직동,"55,000",광화문스페이스본(101동~105동),9,150,20,121.37, , ,9,11110,7
 ,2008,신규,22.11~24.11,2022,사직동,"5,000",광화문스페이스본(101동~105동),9,300,21,94.51, , ,9,11110,11
 ,2008,신규,23.01~25.01,2022,사직동,"95,000",광화문스페이스본(106동),9,170,22,163.33, , ,9-1,11110,6
 ,1994,신규,22.12~24.12,2022,내수동,"52,000",세종로대우,9,0,8,66.96, , ,167,11110,12
사용,2003,갱신,22.10~24.10,2022,내수동,"120,750",경희궁파크팰리스,9,0,15,146.39,"115,000", ,95,11110,4
 ,2004,신규,22.10~24.10,2022,내수동,0,킹스매너,9,850,16,210.15, , ,110-15,11110,6
 ,2003,갱신,22.10~24.10,2022,내수동,"120,000",경희궁파크팰리스,9,0,27,146.39,"95,000", ,95,11110,4
 ,2003,신규,22.09~24.09,2022,익선동,"1,000",현대뜨레비앙,9,85,13,36.08, , ,55,11110,9
 ,2003,신규,22.09~24.09,2022,익선동,"10,000",현대뜨레비앙,9,50,19,46.64, , ,55,11110,5
 ,2013,신규, ,2022,경운동,"1,000",삼성빌딩,9,55,13,14.88, , ,22,11110,4
 ,2013,신규,22.09~23.08,2022,낙원동,500,삼일주택,9,55,1,13.64, , ,22-1,11110,5
 ,2013,신규,22.10~24.10,2022,낙원동,500,삼일주택,9,50,26,13.86, , ,22-1,11110,5
사용,2006,갱신,22.09~24.09,2022,인의동,"40,000",효성쥬얼리시티,9,84,1,106.81,"40,000",80,48-2,11110,11
 ,2006,신규,23.01~25.01,2022,인의동,"20,000",효성쥬얼리시티,9,160,3,84.7, , ,48-2,11110,8
 ,2006,신규,22.09~25.02,2022,인의동,"80,000",효성쥬얼리시티,9,0,5,106.81, , ,48-2,11110,7
 ,2014,신규,22.10~23.10,2022,연건동,"1,000",이화에수풀,9,75,14,16.98, , ,195-10,11110,8
 ,2014,신규,22.10~23.10,2022,연건동,"1,000",이화에수풀,9,85,22,19.86, , ,195-10,11110,7
 ,2022,신규,22.12~23.12,2022,충신동,"30,000",힐스테이트창경궁,9,175,16,63.09, , ,60,11110,10
 ,2022,신규,22.12~23.12,2022,충신동,"30,000",힐스테이트창경궁,9,175,16,63.09, , ,60,11110,10
 ,2022,신규,22.10~24.10,2022,충신동,"40,000",힐스테이트창경궁,9,120,19,63.09, , ,60,11110,14
 ,2022, , ,2022,충신동,"40,000",힐스테이트창경궁,9,120,19,63.09, , ,60,11110,14
 ,2022,신규,22.10~24.10,2022,충신동,"70,000",힐스테이트창경궁,9,30,19,84.97, , ,60,11110,3
 ,2006,신규,23.02~25.02,2022,명륜1가,"70,000",건양하늘터,9,0,12,84.9, , ,23,11110,3
 ,1995,신규,22.10~24.10,2022,명륜2가,"20,000",아남1,9,180,4,84.9, , ,4,11110,14
 ,1996,신규,22.11~24.11,2022,명륜2가,"110,000",아남2,9,0,17,114.36, , ,236,11110,5
사용,1995,갱신,22.10~23.10,2022,명륜2가,"60,000",아남1,9,0,24,84.9,"60,000", ,4,11110,3
 ,1995,신규,23.01~25.01,2022,명륜2가,"10,000",아남1,9,220,25,84.9, , ,4,11110,7
사용,1995,갱신,22.10~24.10,2022,명륜2가,"65,000",아남1,9,0,28,84.8,"62,000", ,4,11110,4
 ,1995, , ,2022,명륜2가,"65,000",아남1,9,0,28,84.8, , ,4,11110,4
 ,1993,신규,22.09~24.09,2022,창신동,"40,000",창신쌍용2,9,0,2,64.66, , ,703,11110,2
 ,1993,갱신,22.09~24.09,2022,창신동,"32,000",창신쌍용2,9,0,2,54.7,"25,000", ,703,11110,6
사용,2006,갱신,22.09~24.04,2022,창신동,"47,000",브라운스톤창신,9,0,5,84.67,"45,000", ,23-76,11110,15
사용,2003,갱신,22.10~24.10,2022,창신동,"54,500",창신이수,9,0,8,84.5,"52,000", ,23-816,11110,5
사용,1993,갱신,22.12~24.12,2022,창신동,"27,300",창신쌍용2,9,0,13,54.7,"26,000", ,703,11110,2
 ,1992, , ,2022,창신동,"35,280",창신쌍용1,9,0,15,79.87, , ,702,11110,4
 ,1992,신규,22.09~24.09,2022,창신동,"10,000",창신쌍용1,9,150,15,79.87, , ,702,11110,12
 ,1993,신규,22.10~24.10,2022,창신동,"42,000",창신쌍용2,9,0,15,79.87, , ,703,11110,6
 ,1992,신규,22.10~24.10,2022,창신동,"36,000",창신쌍용1,9,0,16,54.7, , ,702,11110,2
 ,1993,신규,22.10~24.10,2022,창신동,"38,000",창신쌍용2,9,0,17,64.66, , ,703,11110,6
 ,1993, , ,2022,창신동,"38,000",창신쌍용2,9,0,17,64.66, , ,703,11110,6
 ,1999,신규,22.09~24.09,2022,창신동,"5,000",두산,9,130,17,59.95, , ,232,11110,12
사용,1993,갱신,22.09~24.09,2022,창신동,"36,750",창신쌍용2,9,0,17,79.87,"35,000", ,703,11110,3
 ,1993,신규,22.12~24.11,2022,창신동,"40,900",창신쌍용2,9,0,18,64.66, , ,703,11110,4
 ,1993,신규,22.10~24.10,2022,창신동,"5,000",창신쌍용2,9,120,21,54.7, , ,703,11110,10
 ,1999,신규,22.12~24.12,2022,창신동,"5,000",두산,9,130,22,59.95, , ,232,11110,2
 ,1999,신규,22.12~24.12,2022,창신동,"70,000",두산,9,0,22,84.9, , ,232,11110,20
사용,2003,갱신,22.10~24.10,2022,창신동,"38,850",창신이수,9,0,26,68.06,"37,000", ,23-816,11110,2
 ,1992,갱신,22.10~24.10,2022,창신동,"18,000",창신쌍용1,9,60,26,54.7,"10,000",50,702,11110,9
 ,2003,신규,22.12~24.12,2022,창신동,"20,000",창신이수,9,100,27,84.5, , ,23-816,11110,15
