갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
사용,2002,갱신,22.07~24.07,2022,신교동,"60,270",신현(102동),6,0,30,121.96,"57,400", ,6-11,11110,5
 ,1973,신규,22.08~24.08,2022,필운동,"36,000",사직파크맨션,6,0,17,99.17, , ,142,11110,6
사용,2008,갱신,22.07~24.07,2022,사직동,"40,000",광화문스페이스본(101동~105동),6,268,9,146.92,"40,000",250,9,11110,12
 ,2008,갱신,22.06~24.06,2022,사직동,"100,000",광화문스페이스본(101동~105동),6,0,11,136.4,"90,000", ,9,11110,10
 ,2008,신규,22.07~24.07,2022,사직동,"60,000",광화문스페이스본(101동~105동),6,160,13,160.85, , ,9,11110,1
 ,2008,신규,22.07~24.07,2022,사직동,"30,000",광화문스페이스본(101동~105동),6,120,23,108.55, , ,9,11110,2
사용,2008,갱신,22.07~24.07,2022,사직동,"78,750",광화문스페이스본(101동~105동),6,0,27,94.28,"75,000", ,9,11110,7
 ,2008, , ,2022,사직동,"30,000",광화문스페이스본(101동~105동),6,250,30,94.51, , ,9,11110,5
 ,2008,신규,22.07~24.11,2022,사직동,"30,000",광화문스페이스본(101동~105동),6,250,30,94.51, , ,9,11110,5
 ,1981,갱신,22.06~24.06,2022,당주동,"20,000",롯데미도파광화문빌딩,6,73,13,93.36,"20,000",60,145,11110,8
사용,1983,갱신,22.09~24.09,2022,당주동,"54,000",세종,6,0,18,102.89,"52,000", ,100,11110,5
 ,1981,신규,22.11~24.10,2022,당주동,"30,000",롯데미도파광화문빌딩,6,200,21,149.95, , ,145,11110,9
 ,1983,갱신,22.06~24.06,2022,당주동,"5,000",세종,6,140,30,102.89,"5,000",135,100,11110,4
 ,2003,신규,22.09~24.09,2022,내수동,"70,000",경희궁파크팰리스,6,300,7,148.09, , ,95,11110,15
사용,2004,갱신,22.08~24.08,2022,내수동,"10,000",경희궁의아침4단지,6,315,15,124.17,"10,000",300,73,11110,15
 ,2004,신규,22.09~24.09,2022,내수동,"100,000",경희궁의아침4단지,6,140,18,124.17, , ,73,11110,4
 ,2004,신규,22.08~24.08,2022,내수동,"148,000",경희궁의아침3단지,6,0,29,123.13, , ,72,11110,3
 ,2008,신규,22.06~24.06,2022,견지동,"20,000",대성스카이렉스,6,175,7,149.8, , ,110,11110,12
 ,2008,신규,22.06~24.07,2022,견지동,"3,000",대성스카이렉스,6,460,15,137.55, , ,110,11110,13
 ,2003,신규,22.07~24.07,2022,익선동,"26,250",현대뜨레비앙,6,0,9,48.54, , ,55,11110,8
 ,2003,신규,22.07~24.07,2022,익선동,"1,000",현대뜨레비앙,6,100,20,48.54, , ,55,11110,2
 ,2003,갱신,22.06~22.08,2022,익선동,"17,000",현대뜨레비앙,6,0,24,43.98,"17,000", ,55,11110,7
 ,2013,신규,22.06~23.06,2022,낙원동,500,삼일주택,6,55,4,13.64, , ,22-1,11110,6
 ,2006,신규,22.08~24.08,2022,인의동,"60,000",효성쥬얼리시티,6,200,14,141.04, , ,48-2,11110,19
 ,2006,신규,22.09~24.09,2022,인의동,"35,000",효성쥬얼리시티,6,50,15,84.7, , ,48-2,11110,7
 ,2015,신규,22.06~24.06,2022,연지동,500,아르젠종로,6,55,12,14.21, , ,163-3,11110,10
