갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2007,갱신,22.01~24.01,2021,필운동,"75,600",신동아블루아광화문의꿈,12,0,4,107.5,"72,000", ,254,11110,6
 ,2007,갱신,21.12~23.12,2021,필운동,"50,000",신동아블루아광화문의꿈,12,75,16,108.95,"40,000",75,254,11110,11
 ,2007,신규,22.02~24.02,2021,필운동,"103,000",신동아블루아광화문의꿈,12,0,18,111.97, , ,254,11110,9
 ,2007,신규,22.02~24.02,2021,필운동,"70,000",신동아블루아광화문의꿈,12,120,24,111.97, , ,254,11110,5
 ,2008, , ,2021,사직동,"25,000",광화문스페이스본(101동~105동),12,179,3,94.51, , ,9,11110,11
 ,2008,갱신,21.12~23.12,2021,사직동,"25,000",광화문스페이스본(101동~105동),12,179,3,94.51,"20,000",180,9,11110,11
사용,2008,갱신,22.02~24.02,2021,사직동,"52,500",광화문스페이스본(101동~105동),12,110,3,94.51,"50,000",105,9,11110,6
 ,2008,신규,22.02~24.02,2021,사직동,"5,000",광화문스페이스본(101동~105동),12,220,3,70.8, , ,9,11110,10
 ,2008,신규,22.01~24.01,2021,사직동,"10,000",광화문스페이스본(101동~105동),12,230,4,70.8, , ,9,11110,3
 ,2008,신규,21.12~23.12,2021,사직동,"1,000",광화문스페이스본(101동~105동),12,530,7,151.81, , ,9,11110,5
사용,2008,갱신,21.12~23.12,2021,사직동,"73,500",광화문스페이스본(101동~105동),12,0,11,94.28,"70,000", ,9,11110,10
사용,2008,갱신,21.12~23.12,2021,사직동,"68,000",광화문스페이스본(106동),12,95,11,144.52,"65,000",90,9-1,11110,5
 ,2008,신규,22.01~24.01,2021,사직동,"50,000",광화문스페이스본(101동~105동),12,200,15,94.51, , ,9,11110,8
사용,2008,갱신,22.02~24.02,2021,사직동,"72,450",광화문스페이스본(101동~105동),12,0,16,94.51,"69,000", ,9,11110,7
 ,2008,갱신,22.02~24.02,2021,사직동,"20,000",광화문스페이스본(101동~105동),12,137,18,68.18,"20,000",120,9,11110,14
 ,1983,신규,22.02~24.02,2021,당주동,"60,000",세종,12,0,10,105.64, , ,100,11110,6
