갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,1999,신규,23.10~25.10,2023,통인동,"5,000",효자,8,40,22,36.69, , ,5-1,11110,4
 ,2008,신규,23.09~25.09,2023,사직동,"30,000",광화문스페이스본(101동~105동),8,250,3,95.88, , ,9,11110,8
 ,2008,신규,23.10~25.10,2023,사직동,"23,000",광화문스페이스본(101동~105동),8,190,5,70.8, , ,9,11110,8
 ,2008,신규,23.10~25.10,2023,사직동,"30,000",광화문스페이스본(101동~105동),8,240,19,94.51, , ,9,11110,2
사용,2008,갱신,23.10~25.10,2023,사직동,"130,000",광화문스페이스본(101동~105동),8,0,29,146.92,"150,000", ,9,11110,7
 ,2008,갱신,23.08~25.08,2023,사직동,"99,250",광화문스페이스본(101동~105동),8,0,30,146.92,"85,000", ,9,11110,2
 ,1981,신규,23.10~25.10,2023,당주동,"20,000",롯데미도파광화문빌딩,8,110,2,93.36, , ,145,11110,10
사용,1983,갱신,23.10~25.10,2023,당주동,"4,000",세종,8,126,2,91.46,"4,000",120,100,11110,10
 ,1983,신규,23.09~25.09,2023,당주동,"2,000",세종,8,160,18,91.46, , ,100,11110,8
 ,2005,신규,23.10~25.10,2023,수송동,"31,000",로얄팰리스스위트,8,0,28,42.62, , ,85,11110,7
 ,2005, , ,2023,수송동,"28,000",로얄팰리스스위트,8,0,28,42.62, , ,85,11110,7
 ,2003,갱신,23.10~25.10,2023,익선동,"24,000",현대뜨레비앙,8,0,19,48.54,"23,000", ,55,11110,5
 ,1998, , ,2023,익선동,"48,000",운현신화타워,8,0,22,84.91, , ,30-6,11110,8
 ,2003,신규,23.09~25.09,2023,익선동,"1,000",현대뜨레비앙,8,100,23,48.54, , ,55,11110,3
 ,2003,신규,23.10~25.10,2023,익선동,"1,000",현대뜨레비앙,8,120,31,39.9, , ,55,11110,8
 ,2013,신규,23.08~24.08,2023,경운동,"1,000",삼성빌딩,8,60,11,17.69, , ,22,11110,7
 ,2013, , ,2023,경운동,"2,000",삼성빌딩,8,50,12,18.18, , ,22,11110,7
 ,2013,신규,23.08~24.08,2023,경운동,"1,000",삼성빌딩,8,60,12,14.88, , ,22,11110,7
 ,2013,신규,23.08~24.08,2023,경운동,"1,000",삼성빌딩,8,65,16,18.18, , ,22,11110,4
 ,1968, , ,2023,낙원동,"5,000",낙원,8,180,29,70.61, , ,288,11110,11
 ,2006,신규,23.09~25.09,2023,인의동,"25,000",효성쥬얼리시티,8,160,4,84.7, , ,48-2,11110,11
 ,2006,신규,23.11~25.11,2023,인의동,"65,000",효성쥬얼리시티,8,0,19,92.81, , ,48-2,11110,15
 ,2006,갱신,23.09~25.09,2023,인의동,"24,500",효성쥬얼리시티,8,160,21,106.81,"19,500",160,48-2,11110,8
사용,2006,갱신, ,2023,인의동,"55,000",효성쥬얼리시티,8,40,28,84.7,"55,000",40,48-2,11110,10
 ,2006,신규,23.10~25.10,2023,인의동,"51,000",효성쥬얼리시티,8,0,29,84.98, , ,48-2,11110,14
 ,2021, , ,2023,효제동,"35,000",이지마루종로,8,0,8,25.55, , ,126-2,11110,13
