갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
 ,2000,신규,23.10~25.10,2023,청운동,"85,000",청운현대,7,0,4,129.76, , ,56-45,11110,2
 ,2008,신규,23.08~25.08,2023,사직동,"90,000",광화문스페이스본(101동~105동),7,0,4,97.61, , ,9,11110,3
 ,2008,신규,23.08~25.08,2023,사직동,"10,000",광화문스페이스본(101동~105동),7,380,4,151.81, , ,9,11110,2
 ,2008,갱신,23.08~25.08,2023,사직동,"10,000",광화문스페이스본(101동~105동),7,215,15,70.8,"10,000",185,9,11110,5
 ,2008,갱신,23.07~25.07,2023,사직동,"110,000",광화문스페이스본(101동~105동),7,0,19,146.92,"99,750", ,9,11110,10
 ,2004,신규,23.07~25.07,2023,내수동,"10,000",경희궁의아침3단지,7,470,8,150.48, , ,72,11110,16
 ,2004,갱신,23.07~25.07,2023,내수동,"102,250",킹스매너,7,0,9,218.86,"89,250",105,110-15,11110,1
 ,2004,신규,23.07~25.07,2023,내수동,0,킹스매너,7,850,19,210.15, , ,110-15,11110,6
 ,2004,갱신,23.07~26.02,2023,내수동,"102,000",경희궁의아침2단지,7,0,27,124.17,"87,000", ,71,11110,11
 ,1994, , ,2023,내수동,"49,000",세종로대우,7,0,29,66.96, , ,167,11110,13
 ,2020, , ,2023,신문로2가,"170,000",디팰리스,7,0,13,148.111, , ,171,11110,16
 ,2020,신규,23.10~25.10,2023,신문로2가,"170,000",디팰리스,7,0,13,148.111, , ,171,11110,16
 ,2003,신규,23.08~25.08,2023,익선동,"1,000",현대뜨레비앙,7,100,7,46.64, , ,55,11110,3
 ,1998,신규,23.08~24.07,2023,익선동,"3,000",운현신화타워,7,140,18,57.18, , ,30-6,11110,10
 ,2003,신규,23.08~25.08,2023,익선동,"1,000",현대뜨레비앙,7,105,18,46.64, , ,55,11110,2
 ,2003,신규,23.08~25.08,2023,익선동,"10,000",현대뜨레비앙,7,60,19,48.54, , ,55,11110,6
 ,1968,신규,23.07~25.07,2023,낙원동,"29,000",낙원,7,0,5,72.4, , ,288,11110,8
 ,1968, , ,2023,낙원동,"29,000",낙원,7,0,5,72.4, , ,288,11110,8
 ,1968,신규,23.08~25.08,2023,낙원동,"30,000",낙원,7,0,21,69.06, , ,288,11110,8
