거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,동,등기일자,매도자,매수자,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층
"    29,000", ,1999,2021,자하문로,00055,00000,11110,08,0,3100012, , , , , 통인동,0005,0001,11110,10800,1,효자,4,1,11110-204,61.49, ,5-1,11110,3
"    93,500", ,2005,2021,필운대로,00069,00000,11110,04,0,2100002, , , , , 옥인동,0056,0000,11110,11100,1,세종아파트,4,25,11110-2082,111.31, ,56,11110,5
"   134,000", ,2008,2021,사직로8길,00004,00000,11110,03,0,4100135, , , , , 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),4,10,11110-2203,94.51, ,9,11110,4
"   140,000", ,2008,2021,사직로8길,00004,00000,11110,03,0,4100135, , , , , 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),4,19,11110-2203,94.51, ,9,11110,5
"   170,000", ,2008,2021,사직로8길,00004,00000,11110,03,0,4100135, , , , , 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),4,27,11110-2203,151.81, ,9,11110,3
"   170,000", ,2008,2021,사직로8길,00004,00000,11110,03,0,4100135, , , , , 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),4,28,11110-2203,158.99, ,9,11110,8
"   183,000", ,2003,2021,사직로8길,00020,00000,11110,05,0,4100135, , , , , 내수동,0095,0000,11110,11800,1,경희궁파크팰리스,4,2,11110-107,146.39, ,95,11110,10
"   175,000", ,2003,2021,사직로8길,00020,00000,11110,05,0,4100135, , , , , 내수동,0095,0000,11110,11800,1,경희궁파크팰리스,4,7,11110-107,147.62, ,95,11110,5
"   175,000", ,2003,2021,사직로8길,00020,00000,11110,05,0,4100135, , , , , 내수동,0095,0000,11110,11800,1,경희궁파크팰리스,4,7,11110-107,147.62, ,95,11110,5
"   189,000", ,2004,2021,사직로8길,00034,00000,11110,05,0,4100135, , , , , 내수동,0072,0000,11110,11800,1,경희궁의아침3단지,4,19,11110-116,174.55, ,72,11110,2
"   375,000", ,2020,2021,새문안로2길,00010,00000,11110,01,0,4100157, , , , , 신문로2가,0171,0000,11110,12100,1,디팰리스,4,14,11110-2539,158.324, ,171,11110,14
"   124,000", ,2008,2021,삼봉로,00095,00000,11110,04,0,3100006, , , , , 견지동,0110,0000,11110,12900,1,대성스카이렉스,4,30,11110-2223,149.8, ,110,11110,7
"    85,000", ,1998,2021,삼일대로32길,00036,00000,11110,02,0,4100147, , , , , 익선동,0030,0006,11110,13300,1,운현신화타워,4,1,11110-16,100.77, ,30-6,11110,6
"    23,000", ,2003,2021,돈화문로11가길,00059,00000,11110,03,0,4100050, , , , , 익선동,0055,0000,11110,13300,1,현대뜨레비앙,4,1,11110-102,28.1, ,55,11110,7
"    47,500", ,2004,2021,율곡로19길,00041,00006,11110,01,0,4100223, , , , , 이화동,0009,0001,11110,16500,1,송림아마레스아파트,4,15,11110-121,84.42, ,9-1,11110,5
"    64,800", ,1993,2021,낙산길,00198,00000,11110,02,0,4100020, , , , , 창신동,0703,0000,11110,17400,1,창신쌍용2,4,2,11110-91,64.66, ,703,11110,2
"    69,800", ,1992,2021,동망산길,00019,00000,11110,01,0,4100065, , , , , 창신동,0702,0000,11110,17400,1,창신쌍용1,4,20,11110-37,54.7, ,702,11110,4
"    84,000", ,1993,2021,낙산길,00198,00000,11110,02,0,4100020, , , , , 창신동,0703,0000,11110,17400,1,창신쌍용2,4,24,11110-91,79.87, ,703,11110,12
"    84,800", ,2003,2021,지봉로,00087,00000,11110,01,0,3005007, , , , , 창신동,0023,0816,11110,17400,1,창신이수,4,27,11110-42,84.5, ,23-816,11110,5
"    13,000", ,2014,2021,지봉로4길,00013,00000,11110,00,0,4100389, , , , , 숭인동,0318,0002,11110,17500,1,삼전솔하임4차,4,2,11110-2368,15.09, ,318-2,11110,14
"    20,000", ,1997,2021,숭인동1길,00031,00000,11110,01,0,4100200, , , , , 숭인동,0181,0121,11110,17500,1,도시그린빌라,4,7,11110-44,44.4, ,181-121,11110,4
