거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,동,등기일자,매도자,매수자,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층
"   138,000",중개거래,2008,2023,사직로8길,00004,00000,11110,03,0,4100135,101,23.07.31, , , 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),6,9,11110-2203,95.88,서울 종로구,9,11110,9
"   170,000",중개거래,2008,2023,사직로8길,00004,00000,11110,03,0,4100135,104,23.08.03, , , 사직동,0009,0000,11110,11500,1,광화문스페이스본(101동~105동),6,10,11110-2203,146.92,서울 종로구,9,11110,8
"    84,000",직거래,1970,2023,사직로9길,00014,00000,11110,02,0,4100137, ,23.07.19, , , 사직동,0001,0008,11110,11500,1,사직아파트,6,12,11110-2109,116.23, ,1-8,11110,6
"    93,000",중개거래,1981,2023,세종대로23길,00047,00000,11110,02,0,4100190, ,24.02.29, , , 당주동,0145,0000,11110,11700,1,롯데미도파광화문빌딩,6,20,11110-12,149.95,서울 종로구,145,11110,9
"   408,000",중개거래,2020,2023,새문안로2길,00010,00000,11110,01,0,4100157, ,23.10.13, , , 신문로2가,0171,0000,11110,12100,1,디팰리스,6,24,11110-2539,148.111,"서울 강남구, 서울 종로구",171,11110,10
"    64,500",중개거래,1998,2023,삼일대로32길,00036,00000,11110,02,0,4100147,운현신화타워,23.09.21, , , 익선동,0030,0006,11110,13300,1,운현신화타워,6,24,11110-16,50.31,서울 종로구,30-6,11110,14
"    40,000",중개거래,2003,2023,돈화문로11가길,00059,00000,11110,03,0,4100050,현대뜨레비앙,23.08.14, , , 익선동,0055,0000,11110,13300,1,현대뜨레비앙,6,27,11110-102,46.64,서울 종로구,55,11110,3
"    17,300",중개거래,2017,2023,대학로,00033,00000,11110,00,0,3100002,포레스트힐시티,23.07.21, , , 효제동,0065,0002,11110,16200,1,포레스트힐시티,6,6,11110-2440,15.879,서울 종로구,65-2,11110,5
"    15,400",중개거래,2011,2023,율곡로20길,00024,00000,11110,01,0,4100225,CS타워,23.07.07, , , 충신동,0062,0002,11110,16700,1,CS타워,6,22,11110-2291,22.17,서울 종로구,62-2,11110,5
"    60,000",중개거래,2006,2023,혜화로3가길,00030,00000,11110,01,0,4100544, ,23.09.25, , , 명륜1가,0019,0000,11110,17000,1,렉스빌,6,25,11110-973,80.5,서울 종로구,19,11110,6
